arch,variant,algo,op,wall_median_ns,wall_p95_ns,cyc_median
aarch64,ref,ML-KEM-512,encap,78481.0,78759.0,4233.0
aarch64,ref,ML-KEM-512,decap,84537.0,84685.0,4561.0
aarch64,ref,ML-KEM-512,keygen,69797.0,71741.0,3765.0
aarch64,ref,ML-KEM-768,encap,117519.0,118611.0,6340.0
aarch64,ref,ML-KEM-768,decap,129075.0,130241.0,6966.0
aarch64,ref,ML-KEM-768,keygen,111686.0,117556.0,6026.0
aarch64,ref,ML-KEM-1024,encap,171297.0,173518.0,9245.0
aarch64,ref,ML-KEM-1024,decap,188778.0,192185.0,10189.0
aarch64,ref,ML-KEM-1024,keygen,163555.0,247444.0,8828.0
aarch64,ref,ML-DSA-44,verify,263240.0,271592.0,14211.0
aarch64,ref,ML-DSA-44,sign,898278.0,2655814.0,48501.0
aarch64,ref,ML-DSA-44,keygen,248593.0,257093.0,13416.0
aarch64,ref,ML-DSA-65,verify,423500.0,432722.0,22865.0
aarch64,ref,ML-DSA-65,sign,1449611.0,4359445.0,78269.0
aarch64,ref,ML-DSA-65,keygen,439723.0,450074.0,23738.0
aarch64,ref,ML-DSA-87,verify,690075.0,698907.0,37260.0
aarch64,ref,ML-DSA-87,sign,1812888.0,4623833.0,97890.0
aarch64,ref,ML-DSA-87,keygen,668315.0,678871.0,36084.0
aarch64,opt,ML-KEM-512,encap,61611.0,61814.0,3320.0
aarch64,opt,ML-KEM-512,decap,61389.0,61463.0,3309.0
aarch64,opt,ML-KEM-512,keygen,50500.0,54944.0,2723.0
aarch64,opt,ML-KEM-768,encap,85000.0,85203.0,4584.0
aarch64,opt,ML-KEM-768,decap,88944.0,89000.0,4799.0
aarch64,opt,ML-KEM-768,keygen,79537.0,84056.0,4290.0
aarch64,opt,ML-KEM-1024,encap,127611.0,128519.0,6885.0
aarch64,opt,ML-KEM-1024,decap,136093.0,136778.0,7344.0
aarch64,opt,ML-KEM-1024,keygen,113962.0,199388.0,6147.0
aarch64,opt,ML-DSA-44,verify,260722.0,269685.0,14076.0
aarch64,opt,ML-DSA-44,sign,853704.0,2555389.0,46094.0
aarch64,opt,ML-DSA-44,keygen,246093.0,256944.0,13283.0
aarch64,opt,ML-DSA-65,verify,418815.0,427481.0,22612.0
aarch64,opt,ML-DSA-65,sign,1384408.0,4292148.0,74754.0
aarch64,opt,ML-DSA-65,keygen,435426.0,445778.0,23506.0
aarch64,opt,ML-DSA-87,verify,682685.0,691260.0,36861.0
aarch64,opt,ML-DSA-87,sign,1802129.0,4771518.0,97308.0
aarch64,opt,ML-DSA-87,keygen,659592.0,670593.0,35607.0
