# MODELED — liboqs aarch64 NEON backend speedup vs PQClean reference-C trên Cortex-A72.
scheme,param,op,arm_ref_ns,neon_speedup,arm_neon_ns
mlkem,1024,Decaps,430811,2.3,187309
mlkem,1024,Encaps,381708,2.1,181766
mlkem,1024,Keygen,379201,2.2,172364
mlkem,512,Decaps,193630,2.3,84187
mlkem,512,Encaps,164965,2.1,78555
mlkem,512,Keygen,157518,2.2,71599
mlkem,768,Decaps,331172,2.3,143988
mlkem,768,Encaps,284411,2.1,135434
mlkem,768,Keygen,268100,2.2,121863
mldsa,44,Keygen,413752,1.9,217764
mldsa,44,Sign,1510999,1.7,888823
mldsa,44,Verify,371578,1.8,206432
mldsa,65,Keygen,770562,1.9,405559
mldsa,65,Sign,2177054,1.7,1280620
mldsa,65,Verify,623578,1.8,346432
mldsa,87,Keygen,1229334,1.9,647018
mldsa,87,Sign,2701836,1.7,1589315
mldsa,87,Verify,1075698,1.8,597610
