scheme,param,category,op,build,n,median_ns,mean_ns,std_ns,p95_ns,ci95lo_ns,ci95hi_ns,pk_bytes,sk_bytes,ct_or_sig_bytes
mlkem,1024,5,Decaps,reference-C,100,93654,99019,16875,151890,95644,102394,1568,3168,1568
mlkem,1024,5,Encaps,reference-C,100,82980,87787,19872,131245,83813,91761,1568,3168,1568
mlkem,1024,5,Keygen,reference-C,100,82435,85372,9870,111542,83398,87346,1568,3168,1568
mlkem,512,1,Decaps,reference-C,100,42094,45923,12023,63275,43519,48328,800,1632,768
mlkem,512,1,Encaps,reference-C,100,35862,38708,8565,56364,36995,40421,800,1632,768
mlkem,512,1,Keygen,reference-C,100,34243,36800,7141,53191,35372,38228,800,1632,768
mlkem,768,3,Decaps,reference-C,100,71994,73423,5749,82171,72273,74573,1184,2400,1088
mlkem,768,3,Encaps,reference-C,100,61828,62820,4516,73264,61917,63723,1184,2400,1088
mlkem,768,3,Keygen,reference-C,100,58282,60174,8029,74457,58568,61779,1184,2400,1088
mldsa,44,2,Keygen,reference-C,100,89946,99604,23805,152801,94843,104365,1312,2560,2420
mldsa,44,2,Sign,reference-C,100,314792,380507,263007,928792,327905,433108,1312,2560,2420
mldsa,44,2,Verify,reference-C,100,82573,93386,24818,155149,88422,98350,1312,2560,2420
mldsa,65,3,Keygen,reference-C,100,167514,215194,272511,302426,160692,269696,1952,4032,3309
mldsa,65,3,Sign,reference-C,100,453553,590778,409068,1660820,508964,672591,1952,4032,3309
mldsa,65,3,Verify,reference-C,100,138573,150403,29336,218677,144536,156271,1952,4032,3309
mldsa,87,5,Keygen,reference-C,100,267246,289230,53692,407555,278491,299968,2592,4896,4627
mldsa,87,5,Sign,reference-C,100,562882,701984,409477,1533649,620088,783879,2592,4896,4627
mldsa,87,5,Verify,reference-C,100,239044,269224,102634,376806,248698,289751,2592,4896,4627
aes,128,1,Decrypt,reference-C,100,2248,2272,157,2568,2240,2303,16,0,16
aes,128,1,Encrypt,reference-C,100,6498,8048,12643,8542,5519,10576,16,0,16
aes,192,3,Decrypt,reference-C,100,2382,2460,413,2910,2378,2543,24,0,16
aes,192,3,Encrypt,reference-C,100,7488,7787,1571,9631,7473,8101,24,0,16
aes,256,5,Decrypt,reference-C,100,2400,2490,374,3308,2415,2565,32,0,16
aes,256,5,Encrypt,reference-C,100,7304,8131,3443,10866,7443,8820,32,0,16
