Iter,Param,Category,Encrypt_Cyc,Encrypt_ns,Decrypt_Cyc,Decrypt_ns
1,128,1,18832,7249,5726,2257
2,128,1,18576,7132,6418,2517
3,128,1,18062,6876,5826,2380
4,128,1,19086,7345,5808,2287
5,128,1,18350,7044,5426,2147
6,128,1,18570,7039,6148,2415
7,128,1,19870,7609,5806,2286
8,128,1,20056,7684,5858,2308
9,128,1,17334,6606,6010,2360
10,128,1,22426,8542,6124,2396
11,128,1,20224,7697,5512,2245
12,128,1,17476,6728,5508,2169
13,128,1,17306,6585,5426,2138
14,128,1,14264,5472,5182,2058
15,128,1,13710,5223,5972,2351
16,128,1,14236,5472,5392,2131
17,128,1,18002,6838,5490,2158
18,128,1,18396,6982,5476,2168
19,128,1,14166,5406,5484,2154
20,128,1,14914,5721,5516,2169
21,128,1,13980,5326,5418,2131
22,128,1,18252,7018,6498,2601
23,128,1,14318,5456,5552,2194
24,128,1,17724,6784,5698,2306
25,128,1,17744,6740,6092,2387
26,128,1,15552,5919,6060,2368
27,128,1,14486,5617,5486,2155
28,128,1,14784,5787,5696,2244
29,128,1,14312,5461,5486,2169
30,128,1,14038,5431,5262,2085
31,128,1,14540,5791,5312,2090
32,128,1,16868,6432,5660,2237
33,128,1,17418,6633,6304,2462
34,128,1,16718,6390,6112,2397
35,128,1,16860,6449,5996,2349
36,128,1,15718,6116,5472,2168
37,128,1,17698,6836,5280,2100
38,128,1,20824,7919,6328,2479
39,128,1,15554,5948,5756,2273
40,128,1,14340,5577,5394,2128
41,128,1,13966,5346,5526,2185
42,128,1,347500,129523,5926,2331
43,128,1,16404,6227,6058,2384
44,128,1,13956,5369,5446,2155
45,128,1,12840,5114,5042,2002
46,128,1,14978,5750,5886,2306
47,128,1,14408,5524,5268,2080
48,128,1,15914,6078,6166,2421
49,128,1,15078,5818,5492,2174
50,128,1,14452,5518,5406,2142
51,128,1,14660,5597,5278,2093
52,128,1,14148,5391,5202,2063
53,128,1,99910,37560,5920,2369
54,128,1,15538,6010,5674,2225
55,128,1,14416,5510,5468,2156
56,128,1,13692,5288,5224,2075
57,128,1,16568,6312,5568,2198
58,128,1,17046,6581,5476,2146
59,128,1,15190,5882,5664,2234
60,128,1,14812,5763,6144,2423
61,128,1,14220,5493,5240,2080
62,128,1,16510,6283,6572,2568
63,128,1,14232,5524,5932,2363
64,128,1,13278,5145,5292,2099
65,128,1,13400,5108,5578,2201
66,128,1,13548,5255,5202,2053
67,128,1,14474,5512,5210,2067
68,128,1,26248,9978,7422,2913
69,128,1,15716,6081,5726,2252
70,128,1,16142,6133,5824,2301
71,128,1,13490,5218,5280,2092
72,128,1,14634,5645,5968,2349
73,128,1,16564,6294,5506,2167
74,128,1,17626,6681,5706,2240
75,128,1,15572,5950,6080,2390
76,128,1,16832,6499,5482,2172
77,128,1,17230,6594,5742,2259
78,128,1,19524,7672,5970,2346
79,128,1,17598,6790,6244,2451
80,128,1,18430,7108,6344,2478
81,128,1,19858,7590,5858,2302
82,128,1,17618,6710,5638,2229
83,128,1,18260,6931,5670,2222
84,128,1,18640,7150,5520,2186
85,128,1,16974,6497,5540,2190
86,128,1,19848,7551,5470,2148
87,128,1,19632,7461,5694,2306
88,128,1,19324,7314,5876,2315
89,128,1,34290,12980,6166,2423
90,128,1,18758,7195,5474,2163
91,128,1,18336,6946,6308,2506
92,128,1,21172,8070,5804,2361
93,128,1,17948,6863,5604,2272
94,128,1,18444,7029,6630,2660
95,128,1,17136,6551,5874,2392
96,128,1,17724,6784,6114,2400
97,128,1,19396,7392,5894,2314
98,128,1,21696,8341,5464,2257
99,128,1,21460,8248,7110,2764
100,128,1,18638,7148,5700,2321
1,192,3,20604,7881,6248,2553
2,192,3,23352,8867,5882,2297
3,192,3,21362,8162,6818,2742
4,192,3,18842,7303,5724,2283
5,192,3,20198,7655,6208,2417
6,192,3,20510,7822,5816,2275
7,192,3,23626,9056,5850,2272
8,192,3,20598,7931,6116,2467
9,192,3,18410,7035,5536,2243
10,192,3,17964,6957,6214,2440
11,192,3,18560,7026,5966,2336
12,192,3,22342,8481,6386,2504
13,192,3,20322,7826,6034,2363
14,192,3,18770,7131,6618,2574
15,192,3,17920,6895,6392,2491
16,192,3,18968,7195,5582,2245
17,192,3,18644,7208,5910,2376
18,192,3,20842,7953,5758,2277
19,192,3,19434,7368,5548,2192
20,192,3,17950,6835,6050,2382
21,192,3,18830,7188,5658,2234
22,192,3,18676,7245,5872,2298
23,192,3,17054,6557,5652,2235
24,192,3,17804,6820,5662,2306
25,192,3,28498,10790,9114,3528
26,192,3,18512,7033,5752,2256
27,192,3,18372,7111,5960,2339
28,192,3,55536,20982,6958,2910
29,192,3,17052,6491,5898,2309
30,192,3,18980,7284,6210,2437
31,192,3,21128,8065,6134,2413
32,192,3,19024,7266,5958,2341
33,192,3,18302,6931,5336,2095
34,192,3,19264,7468,5702,2299
35,192,3,20412,7832,5958,2409
36,192,3,22700,8594,5810,2358
37,192,3,21574,8168,5666,2321
38,192,3,18592,7048,6426,2520
39,192,3,20580,7897,7448,3047
40,192,3,19808,7576,6362,2558
41,192,3,20214,7987,6854,2669
42,192,3,19886,7527,6286,2436
43,192,3,19474,7385,6186,2487
44,192,3,20462,7791,5828,2354
45,192,3,21982,8390,5776,2438
46,192,3,16856,6570,6212,2439
47,192,3,26260,9954,5888,2394
48,192,3,25258,9631,7102,2768
49,192,3,18174,7099,6042,2418
50,192,3,19022,7481,6706,2613
51,192,3,19738,7586,5588,2283
52,192,3,20466,7797,5734,2381
53,192,3,20456,7805,5790,2280
54,192,3,18586,7288,5632,2212
55,192,3,18028,6960,5548,2182
56,192,3,18232,6954,5358,2127
57,192,3,19576,7502,5488,2257
58,192,3,18256,6932,6188,2518
59,192,3,19994,7632,6704,2620
60,192,3,19316,7496,6092,2387
61,192,3,17212,6551,6000,2365
62,192,3,18908,7345,6212,2498
63,192,3,19256,7440,5342,2115
64,192,3,18422,7044,6066,2425
65,192,3,17100,6544,5704,2250
66,192,3,27334,10327,8594,3438
67,192,3,20102,7661,6038,2378
68,192,3,19554,7423,5992,2363
69,192,3,24360,9476,6860,2678
70,192,3,21058,7993,5854,2532
71,192,3,21170,8117,5740,2267
72,192,3,18098,7093,6050,2379
73,192,3,17544,6662,5900,2316
74,192,3,24896,9488,6056,2472
75,192,3,17718,6801,5972,2351
76,192,3,18392,7041,5752,2326
77,192,3,20098,7819,5880,2434
78,192,3,21174,8033,6008,2445
79,192,3,21458,8167,6136,2406
80,192,3,23286,8792,15388,5929
81,192,3,23938,9177,5494,2268
82,192,3,17668,6794,5708,2317
83,192,3,19284,7327,5928,2405
84,192,3,19708,7589,5922,2334
85,192,3,18222,7000,5700,2250
86,192,3,20558,8002,6148,2503
87,192,3,17958,6838,5876,2403
88,192,3,20636,7937,6526,2636
89,192,3,18726,7120,6048,2456
90,192,3,16160,6258,6304,2474
91,192,3,18686,7103,6252,2458
92,192,3,18528,7029,5896,2392
93,192,3,20808,7908,6784,2741
94,192,3,22342,8504,5742,2363
95,192,3,21794,8309,6002,2366
96,192,3,18714,7169,6726,2872
97,192,3,21502,8129,5946,2331
98,192,3,23704,8994,5770,2273
99,192,3,21356,8140,5646,2231
100,192,3,18148,6876,6130,2395
1,256,5,19038,7303,6504,2551
2,256,5,28736,10856,9192,3773
3,256,5,21204,8211,6058,2400
4,256,5,17700,6755,6538,2561
5,256,5,17856,6810,6102,2386
6,256,5,19740,7471,6178,2430
7,256,5,21038,8039,6388,2509
8,256,5,18912,7301,5908,2328
9,256,5,52902,19942,5424,2220
10,256,5,21314,8058,5562,2289
11,256,5,18634,7207,6744,2637
12,256,5,29598,11174,10838,4155
13,256,5,20830,7971,6072,2459
14,256,5,19938,7641,6318,2596
15,256,5,20872,7971,5510,2167
16,256,5,27650,10509,8166,3212
17,256,5,20258,7792,5794,2263
18,256,5,100314,37594,7144,2838
19,256,5,18642,7102,6162,2558
20,256,5,18014,6882,5890,2385
21,256,5,17586,6707,6338,2488
22,256,5,19948,7609,5792,2328
23,256,5,18368,7088,5656,2232
24,256,5,19460,7399,5738,2291
25,256,5,18968,7200,5834,2295
26,256,5,16176,6176,5840,2288
27,256,5,23622,9057,6032,2465
28,256,5,19274,7438,5900,2320
29,256,5,28118,10612,8522,3308
30,256,5,19624,7461,6156,2489
31,256,5,23264,8899,6200,2432
32,256,5,18064,6856,5748,2382
33,256,5,17986,6842,5854,2306
34,256,5,19336,7335,6042,2448
35,256,5,18258,6977,6006,2346
36,256,5,19210,7306,6014,2432
37,256,5,27052,10210,11314,4370
38,256,5,20574,7849,5644,2217
39,256,5,17976,6925,5496,2175
40,256,5,20032,7670,5884,2398
41,256,5,18756,7156,6116,2462
42,256,5,19782,7499,5930,2402
43,256,5,19314,7509,6076,2457
44,256,5,21726,8274,6068,2389
45,256,5,18246,6949,5712,2252
46,256,5,15228,5799,5720,2250
47,256,5,18082,6862,7032,2743
48,256,5,18444,6999,6244,2452
49,256,5,19406,7346,6138,2619
50,256,5,14838,5758,5926,2318
51,256,5,17202,6548,6316,2480
52,256,5,18656,7160,5940,2401
53,256,5,18302,6938,6448,2519
54,256,5,16970,6528,5558,2204
55,256,5,17068,6574,6250,2457
56,256,5,18074,6849,6248,2447
57,256,5,17952,6951,6464,2536
58,256,5,19096,7296,5944,2341
59,256,5,26004,9801,6716,2630
60,256,5,19026,7235,5950,2342
61,256,5,16984,6558,5796,2283
62,256,5,18006,6909,6134,2399
63,256,5,16220,6268,5558,2194
64,256,5,19468,7519,5734,2346
65,256,5,15502,5890,5700,2245
66,256,5,25156,9564,6294,2531
67,256,5,18340,6948,6358,2496
68,256,5,18354,6963,5732,2253
69,256,5,18184,7253,5838,2291
70,256,5,18292,7134,5992,2466
71,256,5,18874,7180,5754,2264
72,256,5,17642,6769,5754,2289
73,256,5,19558,7507,6578,2579
74,256,5,21200,8131,6442,2528
75,256,5,19312,7406,5740,2265
76,256,5,24962,9733,6898,2735
77,256,5,26568,10062,7978,3099
78,256,5,21308,8078,6986,2719
79,256,5,28496,10866,9506,3681
80,256,5,18700,7126,5916,2326
81,256,5,21002,8128,6212,2543
82,256,5,21048,7960,5506,2181
83,256,5,24658,9376,5428,2130
84,256,5,24394,9222,5798,2284
85,256,5,20364,7813,6146,2464
86,256,5,33780,12829,5796,2285
87,256,5,18786,7149,5912,2318
88,256,5,26866,10182,6976,2720
89,256,5,19138,7262,5662,2220
90,256,5,18148,6902,5660,2228
91,256,5,24060,9154,6222,2431
92,256,5,19170,7308,5928,2324
93,256,5,17498,6726,6420,2515
94,256,5,17006,6661,5640,2215
95,256,5,17818,6767,5770,2267
96,256,5,18682,7146,5978,2347
97,256,5,17100,6566,5742,2267
98,256,5,22640,8590,7790,3026
99,256,5,21166,8047,6152,2512
100,256,5,19090,7238,5720,2330
