Iter,Keygen_Cyc,Keygen_ns,Sign_Cyc,Sign_ns,Verify_Cyc,Verify_ns
1,341976,127225,585305,217750,1131615,420991
2,344055,127999,595292,221466,1123363,417922
3,341837,127173,570826,212363,1118258,416022
4,336873,125326,571128,212476,1113350,414196
5,340783,126782,573278,213275,1118369,416064
6,339706,126380,565232,210282,1116432,415343
7,335216,124710,566170,210631,1116913,415522
8,338908,126083,565882,210524,1107303,411946
9,339469,126292,564070,209850,1120931,417016
10,346933,129069,585445,217802,1112366,413830
11,334944,124608,563474,209628,1114978,414801
12,338143,125799,580437,215939,1103493,410529
13,335119,124674,563808,209752,1106872,411786
14,335080,124660,564876,210150,1133230,421592
15,348233,129553,564519,210017,1112589,413923
