category,algo,suite,op,count,median_ns,ci95lo_ns,ci95hi_ns,mean_ns,stddev_ns,p95_ns,min_ns,pk_bytes,sk_bytes,ct_or_sig_bytes
1,ML-KEM-512,kem,keygen,100,22135,21692,22593,22314,1263,25050,20891,800,1730,768
1,ML-KEM-512,kem,encaps,100,13263,13164,13308,13480,1066,14784,12977,800,1730,768
1,ML-KEM-512,kem,decaps,100,19954,19825,20308,20396,1965,21588,19608,800,1730,768
3,ML-KEM-768,kem,keygen,100,30600,29811,32683,31213,2504,36951,30050,1184,2498,1088
3,ML-KEM-768,kem,encaps,100,16634,16607,16650,16764,786,16826,16489,1184,2498,1088
3,ML-KEM-768,kem,decaps,100,26366,26270,26403,26407,642,26683,26049,1184,2498,1088
5,ML-KEM-1024,kem,keygen,100,46334,46212,46390,46405,651,47317,45378,1568,3266,1568
5,ML-KEM-1024,kem,encaps,100,22270,22234,22291,22428,976,22899,22066,1568,3266,1568
5,ML-KEM-1024,kem,decaps,100,34892,34845,34910,34951,505,35286,34449,1568,3266,1568
1,ECDH-P-256,kex,keygen,100,13859,13522,17421,15584,2775,20157,13493,65,121,32
1,ECDH-P-256,kex,derive,100,52613,47965,75999,60448,18140,104402,51893,65,121,32
3,ECDH-P-384,kex,keygen,100,556158,554568,560757,566117,38470,623225,549244,97,167,48
3,ECDH-P-384,kex,derive,100,545253,543604,546445,550263,28081,575906,538976,97,167,48
5,ECDH-P-521,kex,keygen,100,1295479,1293101,1298476,1296711,9455,1314944,1286882,133,223,66
5,ECDH-P-521,kex,derive,100,1284354,1281635,1285720,1294676,37624,1400625,1273915,133,223,66
2,ML-DSA-44,sig,keygen,100,80876,80548,80985,80809,1055,83253,78933,1312,2626,2420
2,ML-DSA-44,sig,sign,100,412443,315919,509334,448299,324829,975177,171975,1312,2626,2420
2,ML-DSA-44,sig,verify,100,89207,88985,89267,89528,1829,92416,88386,1312,2626,2420
3,ML-DSA-65,sig,keygen,100,145798,144320,148408,147718,9534,164043,143497,1952,4098,3309
3,ML-DSA-65,sig,sign,100,693346,521211,869269,699564,435250,1685039,250019,1952,4098,3309
3,ML-DSA-65,sig,verify,100,137596,137453,137660,138106,1595,142126,136472,1952,4098,3309
5,ML-DSA-87,sig,keygen,100,200465,200180,201209,202184,9485,206187,197417,2592,4962,4627
5,ML-DSA-87,sig,sign,100,840978,623041,883564,857394,525272,1805137,368622,2592,4962,4627
5,ML-DSA-87,sig,verify,100,214713,214454,215248,215785,3377,222255,211971,2592,4962,4627
1,ECDSA-P-256,sig,keygen,100,14196,13987,14375,14259,692,14924,13625,65,121,72
1,ECDSA-P-256,sig,sign,100,20902,20861,20937,21139,1178,22419,20635,65,121,72
1,ECDSA-P-256,sig,verify,100,61978,61935,62076,62844,3450,67594,61556,65,121,72
3,ECDSA-P-384,sig,keygen,100,554364,553611,556175,561141,25701,600457,547305,97,167,102
3,ECDSA-P-384,sig,sign,100,572263,571022,572366,571787,3479,581644,566694,97,167,103
3,ECDSA-P-384,sig,verify,100,498556,496102,507110,515091,67155,625750,492123,97,167,103
5,ECDSA-P-521,sig,keygen,100,1293837,1292456,1296468,1299814,20088,1339409,1285741,133,223,139
5,ECDSA-P-521,sig,sign,100,1358336,1357413,1359537,1363974,23668,1395761,1350792,133,223,139
5,ECDSA-P-521,sig,verify,100,1103488,1102711,1104506,1108837,24196,1126811,1096126,133,223,139
1,RSA-3072,sig,keygen,3,70482508,70482508,70482508,58029562,28710721,85271752,18334427,422,1768,384
1,RSA-3072,sig,sign,3,1551257,1551257,1551257,1706475,226958,2027385,1540783,422,1768,384
1,RSA-3072,sig,verify,3,36056,36056,36056,35887,1137,37187,34418,422,1768,384
3,RSA-7680,sig,keygen,3,4213062854,4213062854,4213062854,4360853641,2564731152,7573281691,1296216378,998,4365,960
3,RSA-7680,sig,sign,3,32463012,32463012,32463012,33339767,1241157,35095027,32461261,998,4365,960
3,RSA-7680,sig,verify,3,200941,200941,200941,199870,1791,201322,197347,998,4365,960
5,RSA-15360,sig,keygen,3,15749175850,15749175850,15749175850,39450428815,33680154029,87081177139,15520933455,1958,8684,1920
5,RSA-15360,sig,sign,3,176584934,176584934,176584934,179416264,4350043,185561832,176102025,1958,8684,1920
5,RSA-15360,sig,verify,3,773228,773228,773228,777486,7844,788487,770744,1958,8684,1920
