Iter,Param,Category,Keygen_Cyc,Keygen_ns,Sign_Cyc,Sign_ns,Verify_Cyc,Verify_ns
1,44,2,257166,95924,383980,142961,228060,84951
2,44,2,239626,89358,1024526,381424,343116,127892
3,44,2,237012,88337,1379852,513496,267210,107836
4,44,2,260246,96982,1099264,409076,231214,86117
5,44,2,352498,131371,2175854,809863,454430,169264
6,44,2,235596,87816,448284,166979,395256,147246
7,44,2,237838,88646,614074,228567,220676,82197
8,44,2,411746,153421,898196,334508,391808,145892
9,44,2,245276,91502,659380,245418,220146,82001
10,44,2,351702,131035,670574,249741,416588,155149
11,44,2,250846,93524,503652,187518,248616,92743
12,44,2,237172,88392,575194,214148,224366,83572
13,44,2,237676,88611,1419996,528420,214854,80032
14,44,2,227908,84981,512298,190694,213330,79461
15,44,2,241836,90143,3408544,1268217,215784,80377
16,44,2,401694,149762,1080590,402309,361348,134705
17,44,2,240578,89679,874310,325479,215218,80164
18,44,2,231508,86296,767924,285799,216484,80636
19,44,2,238840,89037,868730,323298,213582,79558
20,44,2,410128,152801,472844,176301,570706,212494
21,44,2,238100,88748,792116,294844,215678,80340
22,44,2,239584,89382,691086,257285,268160,99897
23,44,2,235896,87964,372204,138576,213472,79513
24,44,2,227144,84818,944502,351521,215242,80174
25,44,2,229496,85537,369402,137530,266960,99574
26,44,2,365858,136311,3977140,1480272,244134,90970
27,44,2,239884,89419,1290044,480106,305336,113788
28,44,2,246396,91830,2810232,1045940,249666,93250
29,44,2,246358,91823,830338,309038,214194,79785
30,44,2,269660,100527,921850,343127,215266,80181
31,44,2,349520,130360,619534,230675,376652,140336
32,44,2,247496,92240,493564,183751,218160,81260
33,44,2,255410,95441,519158,193268,222560,82975
34,44,2,241414,89974,671768,250028,219892,81904
35,44,2,253186,94367,621292,231382,378248,140911
36,44,2,264894,98934,494440,184054,219964,81929
37,44,2,237520,88533,568022,211460,222582,82905
38,44,2,231058,86137,359426,133823,244416,91091
39,44,2,243244,90654,1724594,641718,216604,80685
40,44,2,231152,86149,383572,142859,215196,80156
41,44,2,225252,83956,520966,194098,223368,83220
42,44,2,241228,89980,497178,185136,222750,82971
43,44,2,233032,86858,1584540,589671,214694,79971
44,44,2,251360,93701,1199362,446358,214442,79875
45,44,2,249382,92991,1139178,424060,421848,157095
46,44,2,345530,128723,2201858,819295,213786,79632
47,44,2,231710,86374,728454,271135,224064,83455
48,44,2,370200,137928,1076868,400843,219950,81922
49,44,2,239530,89319,515506,191891,220718,82235
50,44,2,238970,89061,1084852,403732,498142,185486
51,44,2,237860,88654,2495446,928792,224020,83461
52,44,2,242626,90454,514618,191560,215158,80140
53,44,2,230266,85824,754468,280812,215116,80123
54,44,2,237694,88616,862854,321114,239642,89274
55,44,2,237992,88731,597872,222532,215894,80415
56,44,2,232666,86762,1266288,471203,234384,87356
57,44,2,231500,86285,362908,135118,216302,80568
58,44,2,314586,117260,978620,364453,271652,101214
59,44,2,234314,87329,1127202,419511,215882,80410
60,44,2,248062,92517,1107874,412270,217066,80849
61,44,2,496214,184868,1349200,502289,219196,81764
62,44,2,245346,91437,981584,365317,218656,81443
63,44,2,275452,102716,1275540,474647,215478,80301
64,44,2,352564,131416,1798882,669733,216340,80629
65,44,2,491874,183220,3629298,1351128,282960,105433
66,44,2,260010,97066,485796,180835,232764,86701
67,44,2,241200,89911,538086,200471,225256,83918
68,44,2,271792,101327,1168892,434967,216286,80561
69,44,2,240868,89786,360066,134061,216866,80778
70,44,2,263712,98303,750262,279237,226112,84226
71,44,2,228574,85196,727534,270771,213788,79631
72,44,2,242402,90348,1340112,498720,216968,80847
73,44,2,234262,87318,587110,218537,342418,127536
74,44,2,232216,86636,893128,332377,235354,87759
75,44,2,225630,84115,1852730,689538,293964,109489
76,44,2,369874,137815,821458,305767,276002,103029
77,44,2,243522,90884,593798,221034,259092,96524
78,44,2,246260,91816,1062884,395582,214200,79789
79,44,2,572044,213131,1012956,377021,239782,89463
80,44,2,242076,90221,775642,288668,222638,82980
81,44,2,236566,88211,502810,187167,216720,80723
82,44,2,232316,86607,757902,282067,215384,80233
83,44,2,234132,87262,361652,134650,226102,84223
84,44,2,228928,85328,486836,181225,215126,80131
85,44,2,368974,137501,1889388,703036,225006,83895
86,44,2,250960,93537,360450,134204,216492,80638
87,44,2,227852,84952,1579594,587781,256990,95761
88,44,2,237666,88581,1106670,411852,220800,82241
89,44,2,241260,89918,1098184,408697,217368,80967
90,44,2,232866,86790,1712456,637223,215912,80423
