Iter,Param,Category,Keygen_Cyc,Keygen_ns,Encaps_Cyc,Encaps_ns,Decaps_Cyc,Decaps_ns
1,512,1,90240,33744,96128,35864,110682,41273
2,512,1,89492,33442,97338,36314,111634,41628
3,512,1,90734,33908,97252,36282,114176,42570
4,512,1,90150,33690,99522,37127,113570,42349
5,512,1,107648,40224,114556,42740,135816,50652
6,512,1,118968,44459,127604,47614,153032,57064
7,512,1,142382,53191,151094,56364,169694,63275
8,512,1,211640,79114,225690,84170,315294,117502
9,512,1,172176,64326,171628,64055,202234,75411
10,512,1,149088,55718,149754,55870,186544,69564
11,512,1,158588,59490,140492,52413,169556,63219
12,512,1,126262,47184,132974,49630,159978,59759
13,512,1,126804,47397,126996,47378,158456,59084
14,512,1,120282,44947,118384,44169,157460,58722
15,512,1,119214,44539,113390,42302,133860,49914
16,512,1,113258,42326,113260,42254,139444,52002
17,512,1,132030,49322,117340,43795,132684,49474
18,512,1,108642,40599,114554,42755,127908,47690
19,512,1,91280,34109,101044,37691,110644,41259
20,512,1,93488,34931,91838,34262,113398,42284
21,512,1,94394,35266,96558,36024,113162,42193
22,512,1,88916,33225,94166,35134,110772,41303
23,512,1,90818,33946,94758,35355,111532,41586
24,512,1,89916,33639,96270,35912,114888,42835
25,512,1,88864,33221,97222,36268,115490,43085
26,512,1,92524,34571,98386,36704,140846,52525
27,512,1,91170,34066,92490,34504,111714,41657
28,512,1,89400,33406,99628,37167,112254,41858
29,512,1,91388,34173,96186,35881,112438,41923
30,512,1,120552,45035,94686,35352,117064,43650
31,512,1,93904,35106,96672,36064,110764,41302
32,512,1,89900,33647,97650,36429,114410,42659
33,512,1,93292,34861,93264,34793,111760,41672
34,512,1,93054,34772,98584,36799,111436,41550
35,512,1,117178,43789,91984,34316,110358,41149
36,512,1,98652,36855,93848,35011,118452,44190
37,512,1,90888,33966,98912,36898,113606,42358
38,512,1,114974,42988,96118,35860,112526,41956
39,512,1,88934,33240,96624,36050,113980,42497
40,512,1,89282,33363,95516,35636,111240,41488
41,512,1,91692,34261,94452,35246,114334,42663
42,512,1,92858,34694,91660,34195,112924,42110
43,512,1,87300,32627,94498,35258,111778,41679
44,512,1,94742,35399,94170,35154,111454,41558
45,512,1,97074,36267,91252,34055,111496,41575
46,512,1,92462,34563,90754,33859,142946,53306
47,512,1,88798,33193,93928,35044,110662,41265
48,512,1,95714,35780,121078,45169,111712,41656
49,512,1,91634,34247,92742,34597,115022,42892
50,512,1,90060,33657,91222,34033,110198,41091
51,512,1,90156,33692,94870,35392,110512,41210
52,512,1,88080,32925,94246,35160,110582,41233
53,512,1,90064,33661,99288,37037,113672,42383
54,512,1,92308,34489,93214,34774,115664,43128
55,512,1,90086,33677,95176,35507,111106,41427
56,512,1,89384,33406,95550,35645,111048,41406
57,512,1,88756,33167,95958,35798,112966,42122
58,512,1,88154,32951,93998,35070,110072,41042
59,512,1,92828,34685,96008,35813,114186,42576
60,512,1,89242,33359,121192,45212,108812,40575
61,512,1,94608,35348,95060,35463,123460,46031
62,512,1,91334,34128,96084,35846,110774,41307
63,512,1,90952,33987,110440,41211,112796,42059
64,512,1,92986,34744,96388,35956,112742,42038
65,512,1,91492,34189,91950,34304,109272,40747
66,512,1,88332,33013,225690,84119,115760,43161
67,512,1,90674,33880,96456,35982,112848,42076
68,512,1,94254,35230,92246,34415,109774,40934
69,512,1,95146,35553,97534,36386,113440,42300
70,512,1,92590,34593,93644,34933,110486,41199
71,512,1,92088,34408,93576,34920,113156,42193
72,512,1,91436,34173,93476,34904,116578,43471
73,512,1,91280,34109,97288,36291,113132,42183
74,512,1,91630,34237,91342,34076,114804,42810
75,512,1,90532,33827,97138,36235,118184,117358
76,512,1,93570,34968,94708,35334,110982,41382
77,512,1,93140,34809,94316,35192,112848,42077
78,512,1,90462,33852,94626,35302,134990,50342
79,512,1,88968,33255,94794,35369,110736,41290
80,512,1,92404,34522,99362,37089,112360,41895
81,512,1,92824,34682,96042,35827,109302,40757
82,512,1,90900,33963,97118,36229,111182,41455
83,512,1,88968,33244,158328,59036,111160,41449
84,512,1,94570,35338,93994,35065,118062,44020
85,512,1,94158,35182,90052,33602,108730,40553
86,512,1,91462,34175,92836,34635,116918,43597
87,512,1,92334,34499,96344,35942,113592,42356
88,512,1,87920,32854,106426,39699,115430,43038
89,512,1,92506,34567,94270,35168,111016,41395
90,512,1,91640,34239,93560,34905,113140,42185
91,512,1,96062,35896,93246,34786,114478,42683
92,512,1,93684,35005,98150,36614,112660,42007
93,512,1,90612,33871,92374,34461,110386,41161
94,512,1,90678,33886,97496,36382,110002,41019
95,512,1,90806,33952,94500,35259,110962,41377
96,512,1,87846,32833,96580,36030,110506,41207
97,512,1,87676,32773,93284,34802,109612,40872
98,512,1,90168,33738,96404,35977,112164,41821
99,512,1,89830,33572,94920,35411,110064,41039
100,512,1,92120,34426,97654,36439,124578,46445
1,768,3,153770,57358,170028,63353,196284,73117
2,768,3,153350,57202,165758,61763,193336,72037
3,768,3,158026,58947,170306,63460,194912,72607
4,768,3,155772,58106,165144,61538,192980,71888
5,768,3,153262,57172,167020,62238,193064,71922
6,768,3,177890,66375,167246,62324,191812,71453
7,768,3,156254,58283,165952,61841,194418,72424
8,768,3,156260,58289,158278,58975,190876,71114
9,768,3,158404,59088,166672,62107,192034,71536
10,768,3,157250,58653,162580,60584,187366,69799
11,768,3,151918,56674,166064,61881,221942,82707
12,768,3,153588,57293,165800,61783,192166,71583
13,768,3,154248,57539,164130,61160,186902,69627
14,768,3,153000,57075,165142,61538,195290,72747
15,768,3,158980,59301,167846,62543,206986,77103
16,768,3,156610,58486,172530,64286,191590,71370
17,768,3,157564,58767,166172,61921,191108,71192
18,768,3,154464,57620,157852,58823,192562,71739
19,768,3,156634,58428,163210,60816,191346,71290
20,768,3,158640,59177,165892,61816,195298,72751
21,768,3,157936,58960,167610,62487,219878,82171
22,768,3,157984,58940,165486,61676,191960,71528
23,768,3,160972,60050,182488,67996,192640,71764
24,768,3,160926,60021,163724,61008,198050,73785
25,768,3,154402,57639,164822,61419,188560,70242
26,768,3,158764,59217,162568,60575,197182,73455
