algo,op,iter,wall_ns,cycles
rsa-15360,keygen,0,706351503061,38142981157
rsa-15360,keygen,1,588867499668,31798844971
rsa-15360,keygen,2,86466231171,4669176453
rsa-15360,keygen,3,803960209410,43413851301
rsa-15360,keygen,4,404693324759,21853439514
rsa-15360,pss-sign,0,1601869666,86500931
rsa-15360,pss-sign,1,1601841424,86499414
rsa-15360,pss-sign,2,1601956184,86505612
rsa-15360,pss-sign,3,1601906555,86502923
rsa-15360,pss-sign,4,1601812962,86497876
rsa-15360,pss-sign,5,1601939110,86504694
rsa-15360,pss-sign,6,1601888518,86501922
rsa-15360,pss-sign,7,1602284351,86523307
rsa-15360,pss-sign,8,1601980925,86506927
rsa-15360,pss-sign,9,1601827555,86498664
rsa-15360,pss-sign,10,1602014610,86508741
rsa-15360,pss-sign,11,1601899110,86502522
rsa-15360,pss-sign,12,1601904388,86502808
rsa-15360,pss-sign,13,1601947407,86505123
rsa-15360,pss-sign,14,1601883536,86501674
rsa-15360,pss-sign,15,1601930851,86504234
rsa-15360,pss-sign,16,1602316240,86525045
rsa-15360,pss-sign,17,1601980444,86506907
rsa-15360,pss-sign,18,1601892981,86502197
rsa-15360,pss-sign,19,1601813536,86497894
rsa-15360,pss-sign,20,1601972666,86506492
rsa-15360,pss-sign,21,1601906925,86502918
rsa-15360,pss-sign,22,1665898147,89958468
rsa-15360,pss-sign,23,1601923851,86503869
rsa-15360,pss-sign,24,1601850943,86499931
rsa-15360,pss-sign,25,1601881944,86501614
rsa-15360,pss-sign,26,1602106925,86513725
rsa-15360,pss-sign,27,1601884221,86501725
rsa-15360,pss-sign,28,1601891647,86502130
rsa-15360,pss-sign,29,1601834443,86499020
rsa-15360,pss-sign,30,1601973222,86506521
rsa-15360,pss-sign,31,1601934814,86504456
rsa-15360,pss-sign,32,1601871203,86501021
rsa-15360,pss-sign,33,1601920648,86503696
rsa-15360,pss-sign,34,1601884240,86501688
rsa-15360,pss-sign,35,1601977166,86506722
rsa-15360,pss-sign,36,1601997481,86507839
rsa-15360,pss-sign,37,1601829444,86498772
rsa-15360,pss-sign,38,1601908888,86503048
rsa-15360,pss-sign,39,1601877185,86501343
rsa-15360,pss-sign,40,1601987702,86507316
rsa-15360,pss-sign,41,1601914721,86503378
rsa-15360,pss-sign,42,1601831276,86498870
rsa-15360,pss-sign,43,1601947054,86505104
rsa-15360,pss-sign,44,1601860906,86500464
rsa-15360,pss-sign,45,1601974276,86506593
rsa-15360,pss-sign,46,1601893870,86502245
rsa-15360,pss-sign,47,1601794703,86496896
rsa-15360,pss-sign,48,1601908092,86503002
rsa-15360,pss-sign,49,1601824425,86498477
rsa-15360,pss-sign,50,1601935758,86504513
rsa-15360,pss-sign,51,1601963128,86505981
rsa-15360,pss-sign,52,1601847573,86499747
rsa-15360,pss-sign,53,1601897388,86502419
rsa-15360,pss-sign,54,1665647351,89944934
rsa-15360,pss-sign,55,1601923555,86503838
rsa-15360,pss-sign,56,1602417999,86530535
rsa-15360,pss-sign,57,1601907425,86502959
rsa-15360,pss-sign,58,1601984962,86507136
rsa-15360,pss-sign,59,1602004536,86508206
rsa-15360,pss-sign,60,1601954074,86505479
rsa-15360,pss-sign,61,1601918666,86503584
rsa-15360,pss-sign,62,1601849647,86499841
rsa-15360,pss-sign,63,1601946814,86505080
rsa-15360,pss-sign,64,1601865388,86500702
rsa-15360,pss-sign,65,1601884425,86501734
rsa-15360,pss-sign,66,1601923795,86503861
rsa-15360,pss-sign,67,1601825592,86498558
rsa-15360,pss-sign,68,1601909666,86503100
rsa-15360,pss-sign,69,1601932054,86504295
rsa-15360,pss-sign,70,1601855388,86500173
rsa-15360,pss-sign,71,1601870870,86501000
rsa-15360,pss-sign,72,1601844944,86499581
rsa-15360,pss-sign,73,1601998240,86507881
rsa-15360,pss-sign,74,1601876092,86501290
rsa-15360,pss-sign,75,1601854684,86500118
rsa-15360,pss-sign,76,1601900943,86502631
rsa-15360,pss-sign,77,1601862443,86500551
rsa-15360,pss-sign,78,1601933703,86504403
rsa-15360,pss-sign,79,1601904240,86502806
rsa-15360,pss-sign,80,1601831277,86498865
rsa-15360,pss-sign,81,1601970610,86506377
rsa-15360,pss-sign,82,1601896036,86502357
rsa-15360,pss-sign,83,1601953907,86505465
rsa-15360,pss-sign,84,1601905462,86502860
rsa-15360,pss-sign,85,1601863203,86500576
rsa-15360,pss-sign,86,1665874055,89957165
rsa-15360,pss-sign,87,1601844480,86499579
rsa-15360,pss-sign,88,1601964554,86506056
rsa-15360,pss-sign,89,1601953277,86505454
rsa-15360,pss-sign,90,1601809758,86497699
rsa-15360,pss-sign,91,1601928351,86504097
rsa-15360,pss-sign,92,1601903740,86502767
rsa-15360,pss-sign,93,1601902017,86502684
rsa-15360,pss-sign,94,1601933443,86504360
rsa-15360,pss-sign,95,1601869758,86500929
rsa-15360,pss-sign,96,1601994129,86507641
rsa-15360,pss-sign,97,1601843869,86499546
rsa-15360,pss-sign,98,1601979573,86506874
rsa-15360,pss-sign,99,1601886962,86501873
rsa-15360,pss-verify,0,6557000,354070
rsa-15360,pss-verify,1,6559796,354223
rsa-15360,pss-verify,2,6559463,354205
rsa-15360,pss-verify,3,6552629,353837
rsa-15360,pss-verify,4,6559130,354188
rsa-15360,pss-verify,5,6558870,354175
rsa-15360,pss-verify,6,6552389,353825
rsa-15360,pss-verify,7,6558945,354177
rsa-15360,pss-verify,8,6559037,354183
rsa-15360,pss-verify,9,6552463,353829
rsa-15360,pss-verify,10,6558482,354153
rsa-15360,pss-verify,11,6552278,353819
rsa-15360,pss-verify,12,6559222,354194
rsa-15360,pss-verify,13,6558388,354149
rsa-15360,pss-verify,14,6552278,353819
rsa-15360,pss-verify,15,6558908,354176
rsa-15360,pss-verify,16,6558852,354172
rsa-15360,pss-verify,17,6552611,353836
rsa-15360,pss-verify,18,6558574,354157
rsa-15360,pss-verify,19,6564278,354463
rsa-15360,pss-verify,20,6552796,353846
rsa-15360,pss-verify,21,6558852,354174
rsa-15360,pss-verify,22,6558982,354181
rsa-15360,pss-verify,23,6552500,353830
rsa-15360,pss-verify,24,6558148,354136
rsa-15360,pss-verify,25,6552167,353811
rsa-15360,pss-verify,26,6559037,354184
rsa-15360,pss-verify,27,6558371,354147
rsa-15360,pss-verify,28,6552556,353834
rsa-15360,pss-verify,29,6558907,354176
rsa-15360,pss-verify,30,6558889,354174
