openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-3072
key-size: 3072
keygen-iters: 1000
keygen-wall-median-ns: 1267043240.0
keygen-wall-mean-ns: 1523657957.3
keygen-wall-std-ns: 970034985.6
keygen-wall-p95-ns: 3423940665.0
keygen-wall-p99-ns: 4473284442.0
keygen-wall-ci95lo-ns: 1463534566.0
keygen-wall-ci95hi-ns: 1583781348.6
keygen-cyc-median: 68420326.0
keygen-cyc-mean: 82277519.9
keygen-persec: 0.8
pss-sign-iters: 1000
pss-sign-wall-median-ns: 18241908.0
pss-sign-wall-mean-ns: 18349767.4
pss-sign-wall-std-ns: 583711.9
pss-sign-wall-p95-ns: 18286592.0
pss-sign-wall-p99-ns: 21620722.0
pss-sign-wall-ci95lo-ns: 18313588.6
pss-sign-wall-ci95hi-ns: 18385946.3
pss-sign-cyc-median: 985056.0
pss-sign-cyc-mean: 990880.2
pss-sign-persec: 54.8
pss-verify-iters: 1000
pss-verify-wall-median-ns: 334574.0
pss-verify-wall-mean-ns: 335441.3
pss-verify-wall-std-ns: 2725.9
pss-verify-wall-p95-ns: 344018.0
pss-verify-wall-p99-ns: 344889.0
pss-verify-wall-ci95lo-ns: 335272.3
pss-verify-wall-ci95hi-ns: 335610.2
pss-verify-cyc-median: 18064.0
pss-verify-cyc-mean: 18110.4
pss-verify-persec: 2988.9
oaep-encrypt-iters: 1000
oaep-encrypt-wall-median-ns: 347277.0
oaep-encrypt-wall-mean-ns: 348236.0
oaep-encrypt-wall-std-ns: 2844.6
oaep-encrypt-wall-p95-ns: 356351.0
oaep-encrypt-wall-p99-ns: 357333.0
oaep-encrypt-wall-ci95lo-ns: 348059.7
oaep-encrypt-wall-ci95hi-ns: 348412.3
oaep-encrypt-cyc-median: 18748.0
oaep-encrypt-cyc-mean: 18800.3
oaep-encrypt-persec: 2879.5
oaep-decrypt-iters: 1000
oaep-decrypt-wall-median-ns: 18247333.0
oaep-decrypt-wall-mean-ns: 18355770.7
oaep-decrypt-wall-std-ns: 587196.5
oaep-decrypt-wall-p95-ns: 18291186.0
oaep-decrypt-wall-p99-ns: 21658297.0
oaep-decrypt-wall-ci95lo-ns: 18319375.9
oaep-decrypt-wall-ci95hi-ns: 18392165.5
oaep-decrypt-cyc-median: 985351.0
oaep-decrypt-cyc-mean: 991205.8
oaep-decrypt-persec: 54.8
size-key-bits: 3072
size-signature-bytes: 384
