algo,metric,value
rsa-3072,key-size,3072
rsa-3072,keygen-iters,1000
rsa-3072,keygen-wall-median-ns,1295909814.0
rsa-3072,keygen-wall-mean-ns,1523365898.2
rsa-3072,keygen-wall-std-ns,1000145458.8
rsa-3072,keygen-wall-p95-ns,3456982628.0
rsa-3072,keygen-wall-p99-ns,4643335053.0
rsa-3072,keygen-wall-ci95lo-ns,1461376240.5
rsa-3072,keygen-wall-ci95hi-ns,1585355556.0
rsa-3072,keygen-cyc-median,69979123.0
rsa-3072,keygen-cyc-mean,82261749.6
rsa-3072,keygen-persec,0.8
rsa-3072,pss-sign-iters,1000
rsa-3072,pss-sign-wall-median-ns,18292666.0
rsa-3072,pss-sign-wall-mean-ns,18402078.4
rsa-3072,pss-sign-wall-std-ns,584115.9
rsa-3072,pss-sign-wall-p95-ns,18378093.0
rsa-3072,pss-sign-wall-p99-ns,21672740.0
rsa-3072,pss-sign-wall-ci95lo-ns,18365874.6
rsa-3072,pss-sign-wall-ci95hi-ns,18438282.3
rsa-3072,pss-sign-cyc-median,987797.0
rsa-3072,pss-sign-cyc-mean,993704.9
rsa-3072,pss-sign-persec,54.7
rsa-3072,pss-verify-iters,1000
rsa-3072,pss-verify-wall-median-ns,334629.0
rsa-3072,pss-verify-wall-mean-ns,335523.2
rsa-3072,pss-verify-wall-std-ns,2986.5
rsa-3072,pss-verify-wall-p95-ns,344148.0
rsa-3072,pss-verify-wall-p99-ns,345111.0
rsa-3072,pss-verify-wall-ci95lo-ns,335338.0
rsa-3072,pss-verify-wall-ci95hi-ns,335708.3
rsa-3072,pss-verify-cyc-median,18065.0
rsa-3072,pss-verify-cyc-mean,18113.1
rsa-3072,pss-verify-persec,2988.4
rsa-3072,oaep-encrypt-iters,1000
rsa-3072,oaep-encrypt-wall-median-ns,347185.0
rsa-3072,oaep-encrypt-wall-mean-ns,348117.0
rsa-3072,oaep-encrypt-wall-std-ns,2651.9
rsa-3072,oaep-encrypt-wall-p95-ns,356185.0
rsa-3072,oaep-encrypt-wall-p99-ns,357019.0
rsa-3072,oaep-encrypt-wall-ci95lo-ns,347952.6
rsa-3072,oaep-encrypt-wall-ci95hi-ns,348281.4
rsa-3072,oaep-encrypt-cyc-median,18743.0
rsa-3072,oaep-encrypt-cyc-mean,18793.3
rsa-3072,oaep-encrypt-persec,2880.3
rsa-3072,oaep-decrypt-iters,1000
rsa-3072,oaep-decrypt-wall-median-ns,18268278.0
rsa-3072,oaep-decrypt-wall-mean-ns,18377120.5
rsa-3072,oaep-decrypt-wall-std-ns,587623.5
rsa-3072,oaep-decrypt-wall-p95-ns,18348426.0
rsa-3072,oaep-decrypt-wall-p99-ns,21661185.0
rsa-3072,oaep-decrypt-wall-ci95lo-ns,18340699.2
rsa-3072,oaep-decrypt-wall-ci95hi-ns,18413541.8
rsa-3072,oaep-decrypt-cyc-median,986481.0
rsa-3072,oaep-decrypt-cyc-mean,992357.7
rsa-3072,oaep-decrypt-persec,54.7
rsa-3072,size-key-bits,3072
rsa-3072,size-signature-bytes,384
ecdsa-P-256,keygen-iters,1000
ecdsa-P-256,keygen-wall-median-ns,92314.0
ecdsa-P-256,keygen-wall-mean-ns,92774.0
ecdsa-P-256,keygen-wall-std-ns,4874.1
ecdsa-P-256,keygen-wall-p95-ns,93222.0
ecdsa-P-256,keygen-wall-p99-ns,103982.0
ecdsa-P-256,keygen-wall-ci95lo-ns,92471.9
ecdsa-P-256,keygen-wall-ci95hi-ns,93076.1
ecdsa-P-256,keygen-cyc-median,4980.0
ecdsa-P-256,keygen-cyc-mean,5004.9
ecdsa-P-256,keygen-persec,10832.6
ecdsa-P-256,sign-iters,1000
ecdsa-P-256,sign-wall-median-ns,118000.0
ecdsa-P-256,sign-wall-mean-ns,118373.8
ecdsa-P-256,sign-wall-std-ns,1950.5
ecdsa-P-256,sign-wall-p95-ns,119056.0
ecdsa-P-256,sign-wall-p99-ns,128333.0
ecdsa-P-256,sign-wall-ci95lo-ns,118252.9
ecdsa-P-256,sign-wall-ci95hi-ns,118494.7
ecdsa-P-256,sign-cyc-median,6367.0
ecdsa-P-256,sign-cyc-mean,6386.2
ecdsa-P-256,sign-persec,8474.6
ecdsa-P-256,verify-iters,1000
ecdsa-P-256,verify-wall-median-ns,345685.0
ecdsa-P-256,verify-wall-mean-ns,346788.2
ecdsa-P-256,verify-wall-std-ns,4782.6
ecdsa-P-256,verify-wall-p95-ns,355389.0
ecdsa-P-256,verify-wall-p99-ns,356278.0
ecdsa-P-256,verify-wall-ci95lo-ns,346491.7
ecdsa-P-256,verify-wall-ci95hi-ns,347084.6
ecdsa-P-256,verify-cyc-median,18662.0
ecdsa-P-256,verify-cyc-mean,18721.2
ecdsa-P-256,verify-persec,2892.8
ecdsa-P-256,size-key-bits,256
ecdsa-P-256,size-pubkey-bytes,65
ecdsa-P-256,size-signature-max-bytes,72
ecdsa-P-384,keygen-iters,1000
ecdsa-P-384,keygen-wall-median-ns,4010519.0
ecdsa-P-384,keygen-wall-mean-ns,4011441.2
ecdsa-P-384,keygen-wall-std-ns,7781.1
ecdsa-P-384,keygen-wall-p95-ns,4016426.0
ecdsa-P-384,keygen-wall-p99-ns,4033926.0
ecdsa-P-384,keygen-wall-ci95lo-ns,4010959.0
ecdsa-P-384,keygen-wall-ci95hi-ns,4011923.5
ecdsa-P-384,keygen-cyc-median,216560.0
ecdsa-P-384,keygen-cyc-mean,216609.9
ecdsa-P-384,keygen-persec,249.3
ecdsa-P-384,sign-iters,1000
ecdsa-P-384,sign-wall-median-ns,4183445.0
ecdsa-P-384,sign-wall-mean-ns,4185756.4
ecdsa-P-384,sign-wall-std-ns,12423.9
ecdsa-P-384,sign-wall-p95-ns,4203871.0
ecdsa-P-384,sign-wall-p99-ns,4213722.0
ecdsa-P-384,sign-wall-ci95lo-ns,4184986.4
ecdsa-P-384,sign-wall-ci95hi-ns,4186526.4
ecdsa-P-384,sign-cyc-median,225899.0
ecdsa-P-384,sign-cyc-mean,226022.5
ecdsa-P-384,sign-persec,239.0
ecdsa-P-384,verify-iters,1000
ecdsa-P-384,verify-wall-median-ns,3305704.0
ecdsa-P-384,verify-wall-mean-ns,3306368.0
ecdsa-P-384,verify-wall-std-ns,22774.7
ecdsa-P-384,verify-wall-p95-ns,3317259.0
ecdsa-P-384,verify-wall-p99-ns,3329778.0
ecdsa-P-384,verify-wall-ci95lo-ns,3304956.5
ecdsa-P-384,verify-wall-ci95hi-ns,3307779.6
ecdsa-P-384,verify-cyc-median,178500.0
ecdsa-P-384,verify-cyc-mean,178535.1
ecdsa-P-384,verify-persec,302.5
ecdsa-P-384,size-key-bits,384
ecdsa-P-384,size-pubkey-bytes,97
ecdsa-P-384,size-signature-max-bytes,104
ecdsa-P-521,keygen-iters,1000
ecdsa-P-521,keygen-wall-median-ns,10397630.0
ecdsa-P-521,keygen-wall-mean-ns,10400574.2
ecdsa-P-521,keygen-wall-std-ns,14620.4
ecdsa-P-521,keygen-wall-p95-ns,10419537.0
ecdsa-P-521,keygen-wall-p99-ns,10479370.0
ecdsa-P-521,keygen-wall-ci95lo-ns,10399668.0
ecdsa-P-521,keygen-wall-ci95hi-ns,10401480.4
ecdsa-P-521,keygen-cyc-median,561465.0
ecdsa-P-521,keygen-cyc-mean,561623.9
ecdsa-P-521,keygen-persec,96.2
ecdsa-P-521,sign-iters,1000
ecdsa-P-521,sign-wall-median-ns,11001519.0
ecdsa-P-521,sign-wall-mean-ns,11004952.2
ecdsa-P-521,sign-wall-std-ns,33693.4
ecdsa-P-521,sign-wall-p95-ns,11015871.0
ecdsa-P-521,sign-wall-p99-ns,11101074.0
ecdsa-P-521,sign-wall-ci95lo-ns,11002863.9
ecdsa-P-521,sign-wall-ci95hi-ns,11007040.6
ecdsa-P-521,sign-cyc-median,594074.0
ecdsa-P-521,sign-cyc-mean,594258.7
ecdsa-P-521,sign-persec,90.9
ecdsa-P-521,verify-iters,1000
ecdsa-P-521,verify-wall-median-ns,8327074.0
ecdsa-P-521,verify-wall-mean-ns,8331923.3
ecdsa-P-521,verify-wall-std-ns,26273.3
ecdsa-P-521,verify-wall-p95-ns,8351500.0
ecdsa-P-521,verify-wall-p99-ns,8416408.0
ecdsa-P-521,verify-wall-ci95lo-ns,8330294.9
ecdsa-P-521,verify-wall-ci95hi-ns,8333551.7
ecdsa-P-521,verify-cyc-median,449652.0
ecdsa-P-521,verify-cyc-mean,449913.9
ecdsa-P-521,verify-persec,120.1
ecdsa-P-521,size-key-bits,521
ecdsa-P-521,size-pubkey-bytes,133
ecdsa-P-521,size-signature-max-bytes,139
ecdh-P-256,keygen-iters,1000
ecdh-P-256,keygen-wall-median-ns,92278.0
ecdh-P-256,keygen-wall-mean-ns,92770.3
ecdh-P-256,keygen-wall-std-ns,4181.2
ecdh-P-256,keygen-wall-p95-ns,93185.0
ecdh-P-256,keygen-wall-p99-ns,106166.0
ecdh-P-256,keygen-wall-ci95lo-ns,92511.2
ecdh-P-256,keygen-wall-ci95hi-ns,93029.5
ecdh-P-256,keygen-cyc-median,4977.0
ecdh-P-256,keygen-cyc-mean,5003.9
ecdh-P-256,keygen-persec,10836.8
ecdh-P-256,derive-iters,1000
ecdh-P-256,derive-wall-median-ns,262278.0
ecdh-P-256,derive-wall-mean-ns,262942.8
ecdh-P-256,derive-wall-std-ns,2564.3
ecdh-P-256,derive-wall-p95-ns,270407.0
ecdh-P-256,derive-wall-p99-ns,272574.0
ecdh-P-256,derive-wall-ci95lo-ns,262783.9
ecdh-P-256,derive-wall-ci95hi-ns,263101.8
ecdh-P-256,derive-cyc-median,14159.0
ecdh-P-256,derive-cyc-mean,14194.4
ecdh-P-256,derive-persec,3812.7
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-wall-median-ns,4011056.0
ecdh-P-384,keygen-wall-mean-ns,4027879.5
ecdh-P-384,keygen-wall-std-ns,82263.7
ecdh-P-384,keygen-wall-p95-ns,4056889.0
ecdh-P-384,keygen-wall-p99-ns,4491297.0
ecdh-P-384,keygen-wall-ci95lo-ns,4022780.8
ecdh-P-384,keygen-wall-ci95hi-ns,4032978.3
ecdh-P-384,keygen-cyc-median,216590.0
ecdh-P-384,keygen-cyc-mean,217498.9
ecdh-P-384,keygen-persec,249.3
ecdh-P-384,derive-iters,1000
ecdh-P-384,derive-wall-median-ns,3955167.0
ecdh-P-384,derive-wall-mean-ns,3974261.0
ecdh-P-384,derive-wall-std-ns,81355.0
ecdh-P-384,derive-wall-p95-ns,4027833.0
ecdh-P-384,derive-wall-p99-ns,4407908.0
