algo,op,iter,wall_ns,cycles
rsa-15360,keygen,0,54327809037,146033144440
rsa-15360,keygen,1,13619378387,36608887524
rsa-15360,keygen,2,61778016732,166059302180
rsa-15360,keygen,3,28327968968,76145577710
rsa-15360,keygen,4,53961442030,145048350028
rsa-15360,keygen,5,32389071024,87061819408
rsa-15360,keygen,6,25973132822,69815778100
rsa-15360,keygen,7,14744720506,39633807352
rsa-15360,keygen,8,17645465360,47431008962
rsa-15360,keygen,9,7466374981,20069615176
rsa-15360,keygen,10,48961325963,131608039152
rsa-15360,keygen,11,32477352208,87299118558
rsa-15360,keygen,12,19681056566,52902678208
rsa-15360,keygen,13,11130536120,29918879944
rsa-15360,keygen,14,16079401709,43221429890
rsa-15360,keygen,15,51112456966,137390279648
rsa-15360,keygen,16,40912196130,109971977742
rsa-15360,keygen,17,23663388837,63607186780
rsa-15360,keygen,18,69888939497,187861463182
rsa-15360,keygen,19,24824163160,66727348084
rsa-15360,keygen,20,36445790663,97966281854
rsa-15360,keygen,21,55741697957,149833679118
rsa-15360,keygen,22,10046375152,27004654590
rsa-15360,keygen,23,35907287738,96518785460
rsa-15360,keygen,24,79172989399,212816987492
rsa-15360,keygen,25,48313624549,129867017312
rsa-15360,keygen,26,132657002993,356582012094
rsa-15360,keygen,27,52629403238,141467830756
rsa-15360,keygen,28,19109846671,51367264850
rsa-15360,keygen,29,38519254540,103539751652
rsa-15360,keygen,30,42314443608,113741219280
rsa-15360,keygen,31,46945652832,126189908998
rsa-15360,keygen,32,43009539148,115609637226
rsa-15360,keygen,33,26991460471,72553041628
rsa-15360,keygen,34,29908383755,80393732434
rsa-15360,keygen,35,41322971851,111076144222
rsa-15360,keygen,36,10915546599,29340988162
rsa-15360,keygen,37,37111316172,99755213392
rsa-15360,keygen,38,59820842457,160798418220
rsa-15360,keygen,39,18826532158,50605715962
rsa-15360,keygen,40,31890489090,85721631424
rsa-15360,keygen,41,48678835992,130848705774
rsa-15360,keygen,42,25126561730,67540194444
rsa-15360,keygen,43,8506495971,22865459332
rsa-15360,keygen,44,90958964179,244497686354
rsa-15360,keygen,45,50616730307,136057766446
rsa-15360,keygen,46,13563127431,36457684628
rsa-15360,keygen,47,33104616631,88985205096
rsa-15360,keygen,48,10608401368,28515381864
rsa-15360,keygen,49,27934186560,75087089846
rsa-15360,keygen,50,68108186983,183074800228
rsa-15360,keygen,51,44138776125,118645025564
rsa-15360,keygen,52,1613436168,4336916126
rsa-15360,keygen,53,70359772963,189127062896
rsa-15360,keygen,54,35671394187,95884704480
rsa-15360,keygen,55,64207067468,172588591568
rsa-15360,keygen,56,103894292460,279267849166
rsa-15360,keygen,57,61311109572,164804256880
rsa-15360,keygen,58,74457901195,200142831860
rsa-15360,keygen,59,9110323440,24488548556
rsa-15360,keygen,60,33127279517,89046124178
rsa-15360,keygen,61,33428478702,89855747038
rsa-15360,keygen,62,50264950775,135112183128
rsa-15360,keygen,63,40810839658,109699532958
rsa-15360,keygen,64,83987565529,225758568338
rsa-15360,keygen,65,24344149979,65437071920
rsa-15360,keygen,66,96979692539,260681404264
rsa-15360,keygen,67,48168754841,129477608120
rsa-15360,keygen,68,30460209278,81877038952
rsa-15360,keygen,69,76737137846,206269418864
rsa-15360,keygen,70,88969300923,239149471760
rsa-15360,keygen,71,20992772615,56428569110
rsa-15360,keygen,72,52315763071,140624765928
rsa-15360,keygen,73,43347409610,116517832626
rsa-15360,keygen,74,27312173131,73415117356
rsa-15360,keygen,75,38284370160,102908382770
rsa-15360,keygen,76,47317040746,127188201118
rsa-15360,keygen,77,76626051562,205970819198
