algo,metric,value
rsa-3072,key-size,3072
rsa-3072,keygen-iters,1000
rsa-3072,keygen-wall-median-ns,104932588.0
rsa-3072,keygen-wall-mean-ns,121052674.1
rsa-3072,keygen-wall-std-ns,73887284.9
rsa-3072,keygen-wall-p95-ns,258996049.0
rsa-3072,keygen-wall-p99-ns,351199163.0
rsa-3072,keygen-wall-ci95lo-ns,116473092.8
rsa-3072,keygen-wall-ci95hi-ns,125632255.5
rsa-3072,keygen-cyc-median,282058724.0
rsa-3072,keygen-cyc-mean,325389504.9
rsa-3072,keygen-persec,9.5
rsa-3072,pss-sign-iters,1000
rsa-3072,pss-sign-wall-median-ns,1327053.0
rsa-3072,pss-sign-wall-mean-ns,1339070.0
rsa-3072,pss-sign-wall-std-ns,65616.3
rsa-3072,pss-sign-wall-p95-ns,1334587.0
rsa-3072,pss-sign-wall-p99-ns,1706611.0
rsa-3072,pss-sign-wall-ci95lo-ns,1335003.1
rsa-3072,pss-sign-wall-ci95hi-ns,1343137.0
rsa-3072,pss-sign-cyc-median,3567034.0
rsa-3072,pss-sign-cyc-mean,3599331.5
rsa-3072,pss-sign-persec,753.5
rsa-3072,pss-verify-iters,1000
rsa-3072,pss-verify-wall-median-ns,29236.0
rsa-3072,pss-verify-wall-mean-ns,29273.1
rsa-3072,pss-verify-wall-std-ns,242.5
rsa-3072,pss-verify-wall-p95-ns,29459.0
rsa-3072,pss-verify-wall-p99-ns,30470.0
rsa-3072,pss-verify-wall-ci95lo-ns,29258.0
rsa-3072,pss-verify-wall-ci95hi-ns,29288.1
rsa-3072,pss-verify-cyc-median,78530.0
rsa-3072,pss-verify-cyc-mean,78629.3
rsa-3072,pss-verify-persec,34204.4
rsa-3072,oaep-encrypt-iters,1000
rsa-3072,oaep-encrypt-wall-median-ns,29782.0
rsa-3072,oaep-encrypt-wall-mean-ns,29815.5
rsa-3072,oaep-encrypt-wall-std-ns,235.6
rsa-3072,oaep-encrypt-wall-p95-ns,30003.0
rsa-3072,oaep-encrypt-wall-p99-ns,30982.0
rsa-3072,oaep-encrypt-wall-ci95lo-ns,29800.9
rsa-3072,oaep-encrypt-wall-ci95hi-ns,29830.2
rsa-3072,oaep-encrypt-cyc-median,79998.0
rsa-3072,oaep-encrypt-cyc-mean,80089.8
rsa-3072,oaep-encrypt-persec,33577.3
rsa-3072,oaep-decrypt-iters,1000
rsa-3072,oaep-decrypt-wall-median-ns,1328764.0
rsa-3072,oaep-decrypt-wall-mean-ns,1340764.6
rsa-3072,oaep-decrypt-wall-std-ns,65750.4
rsa-3072,oaep-decrypt-wall-p95-ns,1336771.0
rsa-3072,oaep-decrypt-wall-p99-ns,1710836.0
rsa-3072,oaep-decrypt-wall-ci95lo-ns,1336689.3
rsa-3072,oaep-decrypt-wall-ci95hi-ns,1344839.8
rsa-3072,oaep-decrypt-cyc-median,3571652.0
rsa-3072,oaep-decrypt-cyc-mean,3603900.8
rsa-3072,oaep-decrypt-persec,752.6
rsa-3072,size-key-bits,3072
rsa-3072,size-signature-bytes,384
ecdsa-P-256,keygen-iters,1000
ecdsa-P-256,keygen-wall-median-ns,11953.0
ecdsa-P-256,keygen-wall-mean-ns,12089.8
ecdsa-P-256,keygen-wall-std-ns,798.8
ecdsa-P-256,keygen-wall-p95-ns,12599.0
ecdsa-P-256,keygen-wall-p99-ns,13492.0
ecdsa-P-256,keygen-wall-ci95lo-ns,12040.3
ecdsa-P-256,keygen-wall-ci95hi-ns,12139.4
ecdsa-P-256,keygen-cyc-median,32058.0
ecdsa-P-256,keygen-cyc-mean,32420.9
ecdsa-P-256,keygen-persec,83661.0
ecdsa-P-256,sign-iters,1000
ecdsa-P-256,sign-wall-median-ns,16723.0
ecdsa-P-256,sign-wall-mean-ns,16781.6
ecdsa-P-256,sign-wall-std-ns,331.5
ecdsa-P-256,sign-wall-p95-ns,16976.0
ecdsa-P-256,sign-wall-p99-ns,18182.0
ecdsa-P-256,sign-wall-ci95lo-ns,16761.1
ecdsa-P-256,sign-wall-ci95hi-ns,16802.2
ecdsa-P-256,sign-cyc-median,44884.0
ecdsa-P-256,sign-cyc-mean,45041.9
ecdsa-P-256,sign-persec,59797.9
ecdsa-P-256,verify-iters,1000
ecdsa-P-256,verify-wall-median-ns,52562.0
ecdsa-P-256,verify-wall-mean-ns,52712.6
ecdsa-P-256,verify-wall-std-ns,946.3
ecdsa-P-256,verify-wall-p95-ns,53854.0
ecdsa-P-256,verify-wall-p99-ns,55169.0
ecdsa-P-256,verify-wall-ci95lo-ns,52654.0
ecdsa-P-256,verify-wall-ci95hi-ns,52771.3
ecdsa-P-256,verify-cyc-median,141222.0
ecdsa-P-256,verify-cyc-mean,141628.4
ecdsa-P-256,verify-persec,19025.2
ecdsa-P-256,size-key-bits,256
ecdsa-P-256,size-pubkey-bytes,65
ecdsa-P-256,size-signature-max-bytes,72
ecdsa-P-384,keygen-iters,1000
ecdsa-P-384,keygen-wall-median-ns,468126.0
ecdsa-P-384,keygen-wall-mean-ns,468567.9
ecdsa-P-384,keygen-wall-std-ns,3128.9
ecdsa-P-384,keygen-wall-p95-ns,473594.0
ecdsa-P-384,keygen-wall-p99-ns,478464.0
ecdsa-P-384,keygen-wall-ci95lo-ns,468373.9
ecdsa-P-384,keygen-wall-ci95hi-ns,468761.8
ecdsa-P-384,keygen-cyc-median,1258270.0
ecdsa-P-384,keygen-cyc-mean,1259446.6
ecdsa-P-384,keygen-persec,2136.2
ecdsa-P-384,sign-iters,1000
ecdsa-P-384,sign-wall-median-ns,480907.0
ecdsa-P-384,sign-wall-mean-ns,481420.9
ecdsa-P-384,sign-wall-std-ns,2790.4
ecdsa-P-384,sign-wall-p95-ns,486170.0
ecdsa-P-384,sign-wall-p99-ns,491279.0
ecdsa-P-384,sign-wall-ci95lo-ns,481248.0
ecdsa-P-384,sign-wall-ci95hi-ns,481593.9
ecdsa-P-384,sign-cyc-median,1292616.0
ecdsa-P-384,sign-cyc-mean,1294000.4
ecdsa-P-384,sign-persec,2079.4
ecdsa-P-384,verify-iters,1000
ecdsa-P-384,verify-wall-median-ns,410116.0
ecdsa-P-384,verify-wall-mean-ns,410517.9
ecdsa-P-384,verify-wall-std-ns,2824.6
ecdsa-P-384,verify-wall-p95-ns,413708.0
ecdsa-P-384,verify-wall-p99-ns,421834.0
ecdsa-P-384,verify-wall-ci95lo-ns,410342.9
ecdsa-P-384,verify-wall-ci95hi-ns,410693.0
ecdsa-P-384,verify-cyc-median,1102336.0
ecdsa-P-384,verify-cyc-mean,1103411.7
ecdsa-P-384,verify-persec,2438.3
ecdsa-P-384,size-key-bits,384
ecdsa-P-384,size-pubkey-bytes,97
ecdsa-P-384,size-signature-max-bytes,104
ecdsa-P-521,keygen-iters,1000
ecdsa-P-521,keygen-wall-median-ns,1104174.0
ecdsa-P-521,keygen-wall-mean-ns,1104794.6
ecdsa-P-521,keygen-wall-std-ns,3462.9
ecdsa-P-521,keygen-wall-p95-ns,1110504.0
ecdsa-P-521,keygen-wall-p99-ns,1119906.0
ecdsa-P-521,keygen-wall-ci95lo-ns,1104580.0
ecdsa-P-521,keygen-wall-ci95hi-ns,1105009.2
ecdsa-P-521,keygen-cyc-median,2967960.0
ecdsa-P-521,keygen-cyc-mean,2969622.7
ecdsa-P-521,keygen-persec,905.7
ecdsa-P-521,sign-iters,1000
ecdsa-P-521,sign-wall-median-ns,1161402.0
ecdsa-P-521,sign-wall-mean-ns,1162157.7
ecdsa-P-521,sign-wall-std-ns,4365.3
ecdsa-P-521,sign-wall-p95-ns,1168796.0
ecdsa-P-521,sign-wall-p99-ns,1180364.0
ecdsa-P-521,sign-wall-ci95lo-ns,1161887.2
ecdsa-P-521,sign-wall-ci95hi-ns,1162428.3
ecdsa-P-521,sign-cyc-median,3121788.0
ecdsa-P-521,sign-cyc-mean,3123813.8
ecdsa-P-521,sign-persec,861.0
ecdsa-P-521,verify-iters,1000
ecdsa-P-521,verify-wall-median-ns,922935.0
ecdsa-P-521,verify-wall-mean-ns,923445.4
ecdsa-P-521,verify-wall-std-ns,3195.5
ecdsa-P-521,verify-wall-p95-ns,927711.0
ecdsa-P-521,verify-wall-p99-ns,938960.0
ecdsa-P-521,verify-wall-ci95lo-ns,923247.4
ecdsa-P-521,verify-wall-ci95hi-ns,923643.5
ecdsa-P-521,verify-cyc-median,2480794.0
ecdsa-P-521,verify-cyc-mean,2482158.7
ecdsa-P-521,verify-persec,1083.5
ecdsa-P-521,size-key-bits,521
ecdsa-P-521,size-pubkey-bytes,133
ecdsa-P-521,size-signature-max-bytes,139
ecdh-P-256,keygen-iters,1000
ecdh-P-256,keygen-wall-median-ns,12108.0
ecdh-P-256,keygen-wall-mean-ns,14786.3
ecdh-P-256,keygen-wall-std-ns,5869.9
ecdh-P-256,keygen-wall-p95-ns,25212.0
ecdh-P-256,keygen-wall-p99-ns,26542.0
ecdh-P-256,keygen-wall-ci95lo-ns,14422.5
ecdh-P-256,keygen-wall-ci95hi-ns,15150.1
ecdh-P-256,keygen-cyc-median,32476.0
ecdh-P-256,keygen-cyc-mean,39630.1
ecdh-P-256,keygen-persec,82590.0
ecdh-P-256,derive-iters,1000
ecdh-P-256,derive-wall-median-ns,40377.0
ecdh-P-256,derive-wall-mean-ns,40561.4
ecdh-P-256,derive-wall-std-ns,722.2
ecdh-P-256,derive-wall-p95-ns,42202.0
ecdh-P-256,derive-wall-p99-ns,43449.0
ecdh-P-256,derive-wall-ci95lo-ns,40516.6
ecdh-P-256,derive-wall-ci95hi-ns,40606.2
ecdh-P-256,derive-cyc-median,108478.0
ecdh-P-256,derive-cyc-mean,108972.4
ecdh-P-256,derive-persec,24766.6
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-wall-median-ns,469464.0
ecdh-P-384,keygen-wall-mean-ns,470037.3
ecdh-P-384,keygen-wall-std-ns,6431.2
ecdh-P-384,keygen-wall-p95-ns,474711.0
ecdh-P-384,keygen-wall-p99-ns,479776.0
ecdh-P-384,keygen-wall-ci95lo-ns,469638.7
ecdh-P-384,keygen-wall-ci95hi-ns,470435.9
ecdh-P-384,keygen-cyc-median,1261862.0
ecdh-P-384,keygen-cyc-mean,1263401.2
ecdh-P-384,keygen-persec,2130.1
ecdh-P-384,derive-iters,1000
ecdh-P-384,derive-wall-median-ns,457232.0
ecdh-P-384,derive-wall-mean-ns,457639.9
ecdh-P-384,derive-wall-std-ns,2563.2
ecdh-P-384,derive-wall-p95-ns,462048.0
ecdh-P-384,derive-wall-p99-ns,464838.0
ecdh-P-384,derive-wall-ci95lo-ns,457481.1
