# MODELED — E = P_active * t. P_x86=15.0W (i5 1 core), P_arm=4.0W (Pi4). t_x86 = đo thật; t_arm = mô hình (ARM factor).
scheme,param,op,x86_ns,x86_uJ,arm_ns_model,arm_uJ_model
mlkem,1024,Decaps,93654,1404.82,430811,1723.24
mlkem,1024,Encaps,82980,1244.70,381708,1526.83
mlkem,1024,Keygen,82435,1236.53,379201,1516.80
mlkem,512,Decaps,42094,631.40,193630,774.52
mlkem,512,Encaps,35862,537.93,164965,659.86
mlkem,512,Keygen,34243,513.64,157518,630.07
mlkem,768,Decaps,71994,1079.91,331172,1324.69
mlkem,768,Encaps,61828,927.43,284411,1137.64
mlkem,768,Keygen,58282,874.24,268100,1072.40
mldsa,44,Keygen,89946,1349.19,413752,1655.01
mldsa,44,Sign,314792,4721.87,1510999,6044.00
mldsa,44,Verify,82573,1238.60,371578,1486.31
mldsa,65,Keygen,167514,2512.70,770562,3082.25
mldsa,65,Sign,453553,6803.30,2177054,8708.22
mldsa,65,Verify,138573,2078.60,623578,2494.31
mldsa,87,Keygen,267246,4008.70,1229334,4917.34
mldsa,87,Sign,562882,8443.24,2701836,10807.34
mldsa,87,Verify,239044,3585.66,1075698,4302.79
aes,128,Decrypt,2248,33.73,49467,197.87
aes,128,Encrypt,6498,97.47,142956,571.82
aes,192,Decrypt,2382,35.72,52393,209.57
aes,192,Encrypt,7488,112.33,164747,658.99
aes,256,Decrypt,2400,35.99,52789,211.16
aes,256,Encrypt,7304,109.57,160699,642.80
