category,algo,suite,op,count,median_ns,ci95lo_ns,ci95hi_ns,mean_ns,stddev_ns,p95_ns,min_ns,pk_bytes,sk_bytes,ct_or_sig_bytes
1,ML-KEM-512,kem,keygen,1000,19800,19159,23861,22617,4598,32300,18700,800,1730,768
1,ML-KEM-512,kem,encaps,1000,11700,11333,16027,13910,3590,21100,11400,800,1730,768
1,ML-KEM-512,kem,decaps,1000,18100,18013,18467,18863,2118,21700,17700,800,1730,768
3,ML-KEM-768,kem,keygen,1000,27100,26682,28438,28322,5179,33300,26200,1184,2498,1088
3,ML-KEM-768,kem,encaps,1000,15400,15323,15397,15569,958,16900,15100,1184,2498,1088
3,ML-KEM-768,kem,decaps,1000,26400,24439,26381,26640,6659,33100,22600,1184,2498,1088
5,ML-KEM-1024,kem,keygen,1000,43200,42823,44757,45896,12306,53100,41500,1568,3266,1568
5,ML-KEM-1024,kem,encaps,1000,20400,20342,20698,21255,5934,23400,19300,1568,3266,1568
5,ML-KEM-1024,kem,decaps,1000,31700,31111,32689,33501,8684,38300,29900,1568,3266,1568
1,ECDH-P-256,kex,keygen,1000,14200,14019,14501,14690,3216,17300,13800,65,121,32
1,ECDH-P-256,kex,derive,1000,48400,46454,49106,51086,25169,54900,45600,65,121,32
3,ECDH-P-384,kex,keygen,1000,520000,510848,522912,545718,97891,722900,490400,97,167,48
3,ECDH-P-384,kex,derive,1000,512900,498448,518652,541747,119034,748700,479500,97,167,48
5,ECDH-P-521,kex,keygen,1000,1235500,1208420,1254480,1333366,337672,1947800,1132000,133,223,66
5,ECDH-P-521,kex,derive,1000,1186000,1155279,1196861,1253365,238370,1720600,1113400,133,223,66
2,ML-DSA-44,sig,keygen,1000,75100,73533,79427,79467,14205,106100,70200,1312,2626,2420
2,ML-DSA-44,sig,sign,1000,312500,302658,348442,418689,297769,982600,148400,1312,2626,2420
2,ML-DSA-44,sig,verify,1000,80200,79861,80579,83830,17165,100200,75500,1312,2626,2420
3,ML-DSA-65,sig,keygen,1000,133500,129689,135451,144467,43997,207300,125500,1952,4098,3309
3,ML-DSA-65,sig,sign,1000,527500,507758,562842,675770,505885,1630700,216700,1952,4098,3309
3,ML-DSA-65,sig,verify,1000,123100,120965,125515,130959,30903,222100,115800,1952,4098,3309
5,ML-DSA-87,sig,keygen,1000,195700,186883,202397,205051,36738,267800,173000,2592,4962,4627
5,ML-DSA-87,sig,sign,1000,603600,538003,794817,846624,711727,2000500,319600,2592,4962,4627
5,ML-DSA-87,sig,verify,1000,191600,189996,192524,197994,28570,228000,181800,2592,4962,4627
1,ECDSA-P-256,sig,keygen,1000,13700,13657,13763,13976,1240,14800,13400,65,121,71
1,ECDSA-P-256,sig,sign,1000,19200,19043,19877,20954,10059,24900,18500,65,121,72
1,ECDSA-P-256,sig,verify,1000,54800,54780,54900,56503,8397,61300,54300,65,121,72
3,ECDSA-P-384,sig,keygen,1000,501700,499705,508975,526296,70476,636100,489300,97,167,104
3,ECDSA-P-384,sig,sign,1000,517700,513734,526386,549017,105623,697400,503600,97,167,102
3,ECDSA-P-384,sig,verify,1000,478400,470531,481149,524426,171550,820600,442600,97,167,102
5,ECDSA-P-521,sig,keygen,1000,1150100,1142659,1174161,1196301,115068,1390800,1126000,133,223,138
5,ECDSA-P-521,sig,sign,1000,1288900,1205452,1455988,1432939,439761,2327900,1185100,133,223,138
5,ECDSA-P-521,sig,verify,1000,1027500,1009856,1043884,1077985,184725,1371600,948200,133,223,138
1,RSA-3072,sig,keygen,19,135743200,135743200,135743200,160266789,107407582,391508900,21777800,422,1768,384
1,RSA-3072,sig,sign,1000,1404600,1379472,1428988,1776360,1133399,4062100,1324200,422,1768,384
1,RSA-3072,sig,verify,1000,31800,31652,32088,32444,3629,34100,31300,422,1768,384
