algo,metric,value
ML-DSA-44,keygen-cyc-mean,24951.1
ML-DSA-44,keygen-cyc-median,24881
ML-DSA-44,keygen-iters,1000
ML-DSA-44,keygen-persec,2169.7
ML-DSA-44,keygen-wall-ci95hi-ns,462722.1
ML-DSA-44,keygen-wall-ci95lo-ns,461923
ML-DSA-44,keygen-wall-mean-ns,462194.7
ML-DSA-44,keygen-wall-median-ns,460888
ML-DSA-44,keygen-wall-p95-ns,472019
ML-DSA-44,keygen-wall-p99-ns,478315
ML-DSA-44,keygen-wall-std-ns,9352.1
ML-DSA-44,sign-cyc-mean,146763.4
ML-DSA-44,sign-cyc-median,108854
ML-DSA-44,sign-iters,1000
ML-DSA-44,sign-persec,496
ML-DSA-44,sign-wall-ci95hi-ns,2839222.6
ML-DSA-44,sign-wall-ci95lo-ns,2596674.8
ML-DSA-44,sign-wall-mean-ns,2717948.7
ML-DSA-44,sign-wall-median-ns,2015944
ML-DSA-44,sign-wall-p95-ns,6463833
ML-DSA-44,sign-wall-p99-ns,9353777
ML-DSA-44,sign-wall-std-ns,1906637.6
ML-DSA-44,size-key-bits,10496
ML-DSA-44,size-privkey-bytes,2560
ML-DSA-44,size-pubkey-bytes,1312
ML-DSA-44,size-signature-bytes,2420
ML-DSA-44,verify-cyc-mean,28445.9
ML-DSA-44,verify-cyc-median,28278
ML-DSA-44,verify-iters,1000
ML-DSA-44,verify-persec,1909.2
ML-DSA-44,verify-wall-ci95hi-ns,527146.3
ML-DSA-44,verify-wall-ci95lo-ns,526626.9
ML-DSA-44,verify-wall-mean-ns,526886.6
ML-DSA-44,verify-wall-median-ns,523778
ML-DSA-44,verify-wall-p95-ns,535130
ML-DSA-44,verify-wall-p99-ns,536500
ML-DSA-44,verify-wall-std-ns,4960.5
ML-DSA-65,keygen-cyc-mean,40313.4
ML-DSA-65,keygen-cyc-median,40161
ML-DSA-65,keygen-iters,1000
ML-DSA-65,keygen-persec,1344.4
ML-DSA-65,keygen-wall-ci95hi-ns,746969.1
ML-DSA-65,keygen-wall-ci95lo-ns,746407.8
ML-DSA-65,keygen-wall-mean-ns,746688.4
ML-DSA-65,keygen-wall-median-ns,743815
ML-DSA-65,keygen-wall-p95-ns,755981
ML-DSA-65,keygen-wall-p99-ns,761278
ML-DSA-65,keygen-wall-std-ns,5772.9
ML-DSA-65,sign-cyc-mean,232802.3
ML-DSA-65,sign-cyc-median,190387
ML-DSA-65,sign-iters,1000
ML-DSA-65,sign-persec,283.6
ML-DSA-65,sign-wall-ci95hi-ns,4502452
ML-DSA-65,sign-wall-ci95lo-ns,4120077.5
ML-DSA-65,sign-wall-mean-ns,4311264.7
ML-DSA-65,sign-wall-median-ns,3525814
ML-DSA-65,sign-wall-p95-ns,10919259
ML-DSA-65,sign-wall-p99-ns,14549370
ML-DSA-65,sign-wall-std-ns,3084628.3
ML-DSA-65,size-key-bits,15616
ML-DSA-65,size-privkey-bytes,4032
ML-DSA-65,size-pubkey-bytes,1952
ML-DSA-65,size-signature-bytes,3309
ML-DSA-65,verify-cyc-mean,43059.5
ML-DSA-65,verify-cyc-median,42938
ML-DSA-65,verify-iters,1000
ML-DSA-65,verify-persec,1257.5
ML-DSA-65,verify-wall-ci95hi-ns,797833
ML-DSA-65,verify-wall-ci95lo-ns,797033.8
ML-DSA-65,verify-wall-mean-ns,797512.9
ML-DSA-65,verify-wall-median-ns,795259
ML-DSA-65,verify-wall-p95-ns,805000
ML-DSA-65,verify-wall-p99-ns,809963
ML-DSA-65,verify-wall-std-ns,5679.5
ML-DSA-87,keygen-cyc-mean,60108.4
ML-DSA-87,keygen-cyc-median,59964
ML-DSA-87,keygen-iters,1000
ML-DSA-87,keygen-persec,900.5
ML-DSA-87,keygen-wall-ci95hi-ns,1113852
ML-DSA-87,keygen-wall-ci95lo-ns,1112619.3
ML-DSA-87,keygen-wall-mean-ns,1113235.6
ML-DSA-87,keygen-wall-median-ns,1110537
ML-DSA-87,keygen-wall-p95-ns,1123056
ML-DSA-87,keygen-wall-p99-ns,1144778
ML-DSA-87,keygen-wall-std-ns,22140.6
ML-DSA-87,sign-cyc-mean,270047.9
ML-DSA-87,sign-cyc-median,222679
ML-DSA-87,sign-iters,1000
ML-DSA-87,sign-persec,242.5
ML-DSA-87,sign-wall-ci95hi-ns,5195720.5
ML-DSA-87,sign-wall-ci95lo-ns,4795434.2
ML-DSA-87,sign-wall-mean-ns,5000997.9
ML-DSA-87,sign-wall-median-ns,4123814
ML-DSA-87,sign-wall-p95-ns,11845704
ML-DSA-87,sign-wall-p99-ns,15721574
ML-DSA-87,sign-wall-std-ns,3141890
ML-DSA-87,size-key-bits,20736
ML-DSA-87,size-privkey-bytes,4896
ML-DSA-87,size-pubkey-bytes,2592
ML-DSA-87,size-signature-bytes,4627
ML-DSA-87,verify-cyc-mean,66232.1
ML-DSA-87,verify-cyc-median,66091
ML-DSA-87,verify-iters,1000
ML-DSA-87,verify-persec,817
ML-DSA-87,verify-wall-ci95hi-ns,1226978.7
ML-DSA-87,verify-wall-ci95lo-ns,1226308.6
ML-DSA-87,verify-wall-mean-ns,1226643.6
ML-DSA-87,verify-wall-median-ns,1224019
ML-DSA-87,verify-wall-p95-ns,1233352
ML-DSA-87,verify-wall-p99-ns,1237982
ML-DSA-87,verify-wall-std-ns,5830.9
ML-KEM-1024,decap-cyc-mean,8955.8
ML-KEM-1024,decap-cyc-median,8930
ML-KEM-1024,decap-iters,1000
ML-KEM-1024,decap-persec,6045
ML-KEM-1024,decap-wall-ci95hi-ns,166082.1
ML-KEM-1024,decap-wall-ci95lo-ns,165736.4
ML-KEM-1024,decap-wall-mean-ns,165909.3
