algo,metric,n,median,mean,min,max,cv_pct
ML-DSA-44,keygen-cyc-mean,5,24951.1,25033.32,24900.1,25213.1,0.56
ML-DSA-44,keygen-cyc-median,5,24881,24869.4,24834,24907,0.13
ML-DSA-44,keygen-iters,5,1000,1000,1000,1000,0.00
ML-DSA-44,keygen-persec,5,2169.7,2170.8,2167.5,2173.9,0.13
ML-DSA-44,keygen-wall-ci95hi-ns,5,462722.1,464570.52,461563.3,468615.5,0.70
ML-DSA-44,keygen-wall-ci95lo-ns,5,461923,462830.22,460886.8,465422.2,0.42
ML-DSA-44,keygen-wall-mean-ns,5,462194.7,463700.4,461225.1,467018.8,0.56
ML-DSA-44,keygen-wall-median-ns,5,460888,460662.8,460000,461371,0.13
ML-DSA-44,keygen-wall-p95-ns,5,472019,486148.4,471167,509185,4.08
ML-DSA-44,keygen-wall-p99-ns,5,478315,524189.2,475982,605093,12.44
ML-DSA-44,keygen-wall-std-ns,5,9352.1,14039,4382.9,25760.3,75.70
ML-DSA-44,sign-cyc-mean,5,146763.4,145578.18,140457.2,152064.6,3.35
ML-DSA-44,sign-cyc-median,5,108854,108825.4,108670,109036,0.13
ML-DSA-44,sign-iters,5,1000,1000,1000,1000,0.00
ML-DSA-44,sign-persec,5,496,496.16,495.2,496.9,0.14
ML-DSA-44,sign-wall-ci95hi-ns,5,2839222.6,2814329.06,2719343.9,2941414.3,3.32
ML-DSA-44,sign-wall-ci95lo-ns,5,2596674.8,2577692.18,2482994.7,2690876.3,3.39
ML-DSA-44,sign-wall-mean-ns,5,2717948.7,2696010.62,2601169.3,2816145.3,3.35
ML-DSA-44,sign-wall-median-ns,5,2015944,2015414.6,2012500,2019352,0.13
ML-DSA-44,sign-wall-p95-ns,5,6463833,6412462.8,5880426,6836907,6.83
ML-DSA-44,sign-wall-p99-ns,5,9353777,9516851.8,9248019,9982685,3.42
ML-DSA-44,sign-wall-std-ns,5,1906637.6,1908958.1,1822791.9,2021098.6,4.33
ML-DSA-44,size-key-bits,5,10496,10496,10496,10496,0.00
ML-DSA-44,size-privkey-bytes,5,2560,2560,2560,2560,0.00
ML-DSA-44,size-pubkey-bytes,5,1312,1312,1312,1312,0.00
ML-DSA-44,size-signature-bytes,5,2420,2420,2420,2420,0.00
ML-DSA-44,verify-cyc-mean,5,28445.9,28479.74,28327.1,28642.4,0.54
ML-DSA-44,verify-cyc-median,5,28278,28285.6,28244,28363,0.16
ML-DSA-44,verify-iters,5,1000,1000,1000,1000,0.00
ML-DSA-44,verify-persec,5,1909.2,1908.72,1903.5,1911.6,0.16
ML-DSA-44,verify-wall-ci95hi-ns,5,527146.3,528316.42,524931.6,532140.1,0.67
ML-DSA-44,verify-wall-ci95lo-ns,5,526626.9,526719.62,524445.7,528925.7,0.41
ML-DSA-44,verify-wall-mean-ns,5,526886.6,527518,524688.6,530532.9,0.54
ML-DSA-44,verify-wall-median-ns,5,523778,523915,523130,525352,0.16
ML-DSA-44,verify-wall-p95-ns,5,535130,539311.2,532852,548704,1.43
ML-DSA-44,verify-wall-p99-ns,5,536500,592370.2,536240,678407,12.96
ML-DSA-44,verify-wall-std-ns,5,4960.5,12881.44,3920.3,25930.3,90.68
ML-DSA-65,keygen-cyc-mean,5,40313.4,40325.3,40271.4,40444.4,0.17
ML-DSA-65,keygen-cyc-median,5,40161,40181.8,40149,40221,0.09
ML-DSA-65,keygen-iters,5,1000,1000,1000,1000,0.00
ML-DSA-65,keygen-persec,5,1344.4,1343.68,1342.3,1344.8,0.09
ML-DSA-65,keygen-wall-ci95hi-ns,5,746969.1,747420.18,746236.3,750387.1,0.23
ML-DSA-65,keygen-wall-ci95lo-ns,5,746407.8,746355.78,745520.6,747767,0.12
ML-DSA-65,keygen-wall-mean-ns,5,746688.4,746887.96,745878.5,749077,0.17
ML-DSA-65,keygen-wall-median-ns,5,743815,744218.6,743611,744963,0.09
ML-DSA-65,keygen-wall-p95-ns,5,755981,755996.2,755297,757296,0.11
ML-DSA-65,keygen-wall-p99-ns,5,761278,780544.4,759870,859056,5.62
