algo,metric,value
ML-DSA-44,keygen-cyc-mean,188244.1
ML-DSA-44,keygen-cyc-median,187584
ML-DSA-44,keygen-iters,1000
ML-DSA-44,keygen-persec,14324.4
ML-DSA-44,keygen-wall-ci95hi-ns,70155.7
ML-DSA-44,keygen-wall-ci95lo-ns,69958.2
ML-DSA-44,keygen-wall-mean-ns,70056.9
ML-DSA-44,keygen-wall-median-ns,69811
ML-DSA-44,keygen-wall-p95-ns,72102
ML-DSA-44,keygen-wall-p99-ns,74193
ML-DSA-44,keygen-wall-std-ns,1392.4
ML-DSA-44,sign-cyc-mean,999833.9
ML-DSA-44,sign-cyc-median,764756
ML-DSA-44,sign-iters,1000
ML-DSA-44,sign-persec,3514.6
ML-DSA-44,sign-wall-ci95hi-ns,387855.9
ML-DSA-44,sign-wall-ci95lo-ns,356527.5
ML-DSA-44,sign-wall-mean-ns,371984.4
ML-DSA-44,sign-wall-median-ns,284528
ML-DSA-44,sign-wall-p95-ns,839698
ML-DSA-44,sign-wall-p99-ns,1306619
ML-DSA-44,sign-wall-std-ns,252131.2
ML-DSA-44,size-key-bits,10496
ML-DSA-44,size-privkey-bytes,2560
ML-DSA-44,size-pubkey-bytes,1312
ML-DSA-44,size-signature-bytes,2420
ML-DSA-44,verify-cyc-mean,204462.2
ML-DSA-44,verify-cyc-median,204098
ML-DSA-44,verify-iters,1000
ML-DSA-44,verify-persec,13166.2
ML-DSA-44,verify-wall-ci95hi-ns,76180.1
ML-DSA-44,verify-wall-ci95lo-ns,76004.1
ML-DSA-44,verify-wall-mean-ns,76089
ML-DSA-44,verify-wall-median-ns,75952
ML-DSA-44,verify-wall-p95-ns,77318
ML-DSA-44,verify-wall-p99-ns,78739
ML-DSA-44,verify-wall-std-ns,684.2
ML-DSA-65,keygen-cyc-mean,338757.8
ML-DSA-65,keygen-cyc-median,337974
ML-DSA-65,keygen-iters,1000
ML-DSA-65,keygen-persec,7951.7
ML-DSA-65,keygen-wall-ci95hi-ns,126157.2
ML-DSA-65,keygen-wall-ci95lo-ns,125918.2
ML-DSA-65,keygen-wall-mean-ns,126051.7
ML-DSA-65,keygen-wall-median-ns,125759
ML-DSA-65,keygen-wall-p95-ns,127905
ML-DSA-65,keygen-wall-p99-ns,132088
ML-DSA-65,keygen-wall-std-ns,1702
ML-DSA-65,sign-cyc-mean,1630482.5
ML-DSA-65,sign-cyc-median,1338154
ML-DSA-65,sign-iters,1000
ML-DSA-65,sign-persec,2008.6
ML-DSA-65,sign-wall-ci95hi-ns,633877.7
ML-DSA-65,sign-wall-ci95lo-ns,579327.5
ML-DSA-65,sign-wall-mean-ns,606602.6
ML-DSA-65,sign-wall-median-ns,497852
ML-DSA-65,sign-wall-p95-ns,1451890
ML-DSA-65,sign-wall-p99-ns,2291669
ML-DSA-65,sign-wall-std-ns,440058
ML-DSA-65,size-key-bits,15616
ML-DSA-65,size-privkey-bytes,4032
ML-DSA-65,size-pubkey-bytes,1952
ML-DSA-65,size-signature-bytes,3309
ML-DSA-65,verify-cyc-mean,314933.3
ML-DSA-65,verify-cyc-median,314788
ML-DSA-65,verify-iters,1000
ML-DSA-65,verify-persec,8537.4
ML-DSA-65,verify-wall-ci95hi-ns,117269.9
ML-DSA-65,verify-wall-ci95lo-ns,117141.3
ML-DSA-65,verify-wall-mean-ns,117185.6
ML-DSA-65,verify-wall-median-ns,117132
ML-DSA-65,verify-wall-p95-ns,118380
ML-DSA-65,verify-wall-p99-ns,119027
ML-DSA-65,verify-wall-std-ns,1070.2
ML-DSA-87,keygen-cyc-mean,467828.3
ML-DSA-87,keygen-cyc-median,467272
ML-DSA-87,keygen-iters,1000
ML-DSA-87,keygen-persec,5751.7
ML-DSA-87,keygen-wall-ci95hi-ns,174209.5
ML-DSA-87,keygen-wall-ci95lo-ns,173931.9
ML-DSA-87,keygen-wall-mean-ns,174070.7
ML-DSA-87,keygen-wall-median-ns,173862
ML-DSA-87,keygen-wall-p95-ns,176414
ML-DSA-87,keygen-wall-p99-ns,181139
ML-DSA-87,keygen-wall-std-ns,2239.5
ML-DSA-87,sign-cyc-mean,1933830.9
ML-DSA-87,sign-cyc-median,1574440
ML-DSA-87,sign-iters,1000
ML-DSA-87,sign-persec,1707.2
ML-DSA-87,sign-wall-ci95hi-ns,749073.4
ML-DSA-87,sign-wall-ci95lo-ns,689842.5
ML-DSA-87,sign-wall-mean-ns,719458
ML-DSA-87,sign-wall-median-ns,585753
ML-DSA-87,sign-wall-p95-ns,1661204
ML-DSA-87,sign-wall-p99-ns,2334570
