# MODELED — latency = compute + n_rtt*RTT + retransmit. RTT=2*delay; RTO=max(200,RTT); npkts=ceil(hs_bytes/1460); retransmit=npkts*(loss/100)*RTO.
# Anchor compute_ms & hs_bytes từ bắt tay THẬT localhost (data/tls/x86/). p95≈1.3*median.
config,delay_ms,loss_pct,hs_bytes,n_packets,median_ms,p95_ms
classical (ECDHE-P256/ECDSA),0,0,1500,2,1.4,1.8
classical (ECDHE-P256/ECDSA),0,1,1500,2,5.4,7.0
classical (ECDHE-P256/ECDSA),0,3,1500,2,13.4,17.4
classical (ECDHE-P256/ECDSA),0,5,1500,2,21.4,27.8
classical (ECDHE-P256/ECDSA),0,10,1500,2,41.4,53.8
classical (ECDHE-P256/ECDSA),20,0,1500,2,41.4,53.8
classical (ECDHE-P256/ECDSA),20,1,1500,2,45.4,59.0
classical (ECDHE-P256/ECDSA),20,3,1500,2,53.4,69.4
classical (ECDHE-P256/ECDSA),20,5,1500,2,61.4,79.8
classical (ECDHE-P256/ECDSA),20,10,1500,2,81.4,105.8
classical (ECDHE-P256/ECDSA),60,0,1500,2,121.4,157.8
classical (ECDHE-P256/ECDSA),60,1,1500,2,125.4,163.0
classical (ECDHE-P256/ECDSA),60,3,1500,2,133.4,173.4
classical (ECDHE-P256/ECDSA),60,5,1500,2,141.4,183.8
classical (ECDHE-P256/ECDSA),60,10,1500,2,161.4,209.8
classical (ECDHE-P256/ECDSA),100,0,1500,2,201.4,261.8
classical (ECDHE-P256/ECDSA),100,1,1500,2,205.4,267.0
classical (ECDHE-P256/ECDSA),100,3,1500,2,213.4,277.4
classical (ECDHE-P256/ECDSA),100,5,1500,2,221.4,287.8
classical (ECDHE-P256/ECDSA),100,10,1500,2,241.4,313.8
pqc-hybrid (X25519MLKEM768/ML-DSA-65),0,0,10800,8,1.1,1.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),0,1,10800,8,17.1,22.2
pqc-hybrid (X25519MLKEM768/ML-DSA-65),0,3,10800,8,49.1,63.8
pqc-hybrid (X25519MLKEM768/ML-DSA-65),0,5,10800,8,81.1,105.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),0,10,10800,8,161.1,209.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),20,0,10800,8,41.1,53.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),20,1,10800,8,57.1,74.2
pqc-hybrid (X25519MLKEM768/ML-DSA-65),20,3,10800,8,89.1,115.8
pqc-hybrid (X25519MLKEM768/ML-DSA-65),20,5,10800,8,121.1,157.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),20,10,10800,8,201.1,261.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),60,0,10800,8,121.1,157.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),60,1,10800,8,137.1,178.2
pqc-hybrid (X25519MLKEM768/ML-DSA-65),60,3,10800,8,169.1,219.8
pqc-hybrid (X25519MLKEM768/ML-DSA-65),60,5,10800,8,201.1,261.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),60,10,10800,8,281.1,365.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),100,0,10800,8,201.1,261.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),100,1,10800,8,217.1,282.2
pqc-hybrid (X25519MLKEM768/ML-DSA-65),100,3,10800,8,249.1,323.8
pqc-hybrid (X25519MLKEM768/ML-DSA-65),100,5,10800,8,281.1,365.4
pqc-hybrid (X25519MLKEM768/ML-DSA-65),100,10,10800,8,361.1,469.4
