openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-3072
key-size: 3072
keygen-iters: 1000
keygen-wall-median-ns: 1342942314.0
keygen-wall-mean-ns: 1531529669.7
keygen-wall-std-ns: 934670690.5
keygen-wall-p95-ns: 3373493387.0
keygen-wall-p99-ns: 4702502626.0
keygen-wall-ci95lo-ns: 1473598180.2
keygen-wall-ci95hi-ns: 1589461159.3
keygen-cyc-median: 72518872.0
keygen-cyc-mean: 82702592.5
keygen-persec: 0.7
pss-sign-iters: 1000
pss-sign-wall-median-ns: 18248981.0
pss-sign-wall-mean-ns: 18356868.9
pss-sign-wall-std-ns: 584981.0
pss-sign-wall-p95-ns: 18287000.0
pss-sign-wall-p99-ns: 21636315.0
pss-sign-wall-ci95lo-ns: 18320611.4
pss-sign-wall-ci95hi-ns: 18393126.4
pss-sign-cyc-median: 985438.0
pss-sign-cyc-mean: 991263.9
pss-sign-persec: 54.8
pss-verify-iters: 1000
pss-verify-wall-median-ns: 335000.0
pss-verify-wall-mean-ns: 335866.0
pss-verify-wall-std-ns: 2721.7
pss-verify-wall-p95-ns: 344463.0
pss-verify-wall-p99-ns: 345334.0
pss-verify-wall-ci95lo-ns: 335697.3
pss-verify-wall-ci95hi-ns: 336034.7
pss-verify-cyc-median: 18085.0
pss-verify-cyc-mean: 18131.8
pss-verify-persec: 2985.1
oaep-encrypt-iters: 1000
oaep-encrypt-wall-median-ns: 347389.0
oaep-encrypt-wall-mean-ns: 348457.2
oaep-encrypt-wall-std-ns: 4014.1
oaep-encrypt-wall-p95-ns: 356500.0
oaep-encrypt-wall-p99-ns: 357333.0
oaep-encrypt-wall-ci95lo-ns: 348208.4
oaep-encrypt-wall-ci95hi-ns: 348706.0
oaep-encrypt-cyc-median: 18754.0
oaep-encrypt-cyc-mean: 18811.7
oaep-encrypt-persec: 2878.6
oaep-decrypt-iters: 1000
oaep-decrypt-wall-median-ns: 18257037.0
oaep-decrypt-wall-mean-ns: 18365788.3
oaep-decrypt-wall-std-ns: 586365.0
oaep-decrypt-wall-p95-ns: 18301407.0
oaep-decrypt-wall-p99-ns: 21648445.0
oaep-decrypt-wall-ci95lo-ns: 18329445.0
oaep-decrypt-wall-ci95hi-ns: 18402131.5
oaep-decrypt-cyc-median: 985873.0
oaep-decrypt-cyc-mean: 991745.9
oaep-decrypt-persec: 54.8
size-key-bits: 3072
size-signature-bytes: 384
