algo,metric,value
rsa-3072,key-size,3072
rsa-3072,keygen-iters,1000
rsa-3072,keygen-wall-median-ns,1267043240.0
rsa-3072,keygen-wall-mean-ns,1523657957.3
rsa-3072,keygen-wall-std-ns,970034985.6
rsa-3072,keygen-wall-p95-ns,3423940665.0
rsa-3072,keygen-wall-p99-ns,4473284442.0
rsa-3072,keygen-wall-ci95lo-ns,1463534566.0
rsa-3072,keygen-wall-ci95hi-ns,1583781348.6
rsa-3072,keygen-cyc-median,68420326.0
rsa-3072,keygen-cyc-mean,82277519.9
rsa-3072,keygen-persec,0.8
rsa-3072,pss-sign-iters,1000
rsa-3072,pss-sign-wall-median-ns,18241908.0
rsa-3072,pss-sign-wall-mean-ns,18349767.4
rsa-3072,pss-sign-wall-std-ns,583711.9
rsa-3072,pss-sign-wall-p95-ns,18286592.0
rsa-3072,pss-sign-wall-p99-ns,21620722.0
rsa-3072,pss-sign-wall-ci95lo-ns,18313588.6
rsa-3072,pss-sign-wall-ci95hi-ns,18385946.3
rsa-3072,pss-sign-cyc-median,985056.0
rsa-3072,pss-sign-cyc-mean,990880.2
rsa-3072,pss-sign-persec,54.8
rsa-3072,pss-verify-iters,1000
rsa-3072,pss-verify-wall-median-ns,334574.0
rsa-3072,pss-verify-wall-mean-ns,335441.3
rsa-3072,pss-verify-wall-std-ns,2725.9
rsa-3072,pss-verify-wall-p95-ns,344018.0
rsa-3072,pss-verify-wall-p99-ns,344889.0
rsa-3072,pss-verify-wall-ci95lo-ns,335272.3
rsa-3072,pss-verify-wall-ci95hi-ns,335610.2
rsa-3072,pss-verify-cyc-median,18064.0
rsa-3072,pss-verify-cyc-mean,18110.4
rsa-3072,pss-verify-persec,2988.9
rsa-3072,oaep-encrypt-iters,1000
rsa-3072,oaep-encrypt-wall-median-ns,347277.0
rsa-3072,oaep-encrypt-wall-mean-ns,348236.0
rsa-3072,oaep-encrypt-wall-std-ns,2844.6
rsa-3072,oaep-encrypt-wall-p95-ns,356351.0
rsa-3072,oaep-encrypt-wall-p99-ns,357333.0
rsa-3072,oaep-encrypt-wall-ci95lo-ns,348059.7
rsa-3072,oaep-encrypt-wall-ci95hi-ns,348412.3
rsa-3072,oaep-encrypt-cyc-median,18748.0
rsa-3072,oaep-encrypt-cyc-mean,18800.3
rsa-3072,oaep-encrypt-persec,2879.5
rsa-3072,oaep-decrypt-iters,1000
rsa-3072,oaep-decrypt-wall-median-ns,18247333.0
rsa-3072,oaep-decrypt-wall-mean-ns,18355770.7
rsa-3072,oaep-decrypt-wall-std-ns,587196.5
rsa-3072,oaep-decrypt-wall-p95-ns,18291186.0
rsa-3072,oaep-decrypt-wall-p99-ns,21658297.0
rsa-3072,oaep-decrypt-wall-ci95lo-ns,18319375.9
rsa-3072,oaep-decrypt-wall-ci95hi-ns,18392165.5
rsa-3072,oaep-decrypt-cyc-median,985351.0
rsa-3072,oaep-decrypt-cyc-mean,991205.8
rsa-3072,oaep-decrypt-persec,54.8
rsa-3072,size-key-bits,3072
rsa-3072,size-signature-bytes,384
ecdsa-P-256,keygen-iters,1000
ecdsa-P-256,keygen-wall-median-ns,92574.0
ecdsa-P-256,keygen-wall-mean-ns,93090.1
ecdsa-P-256,keygen-wall-std-ns,3770.1
ecdsa-P-256,keygen-wall-p95-ns,93648.0
ecdsa-P-256,keygen-wall-p99-ns,105111.0
ecdsa-P-256,keygen-wall-ci95lo-ns,92856.4
ecdsa-P-256,keygen-wall-ci95hi-ns,93323.8
ecdsa-P-256,keygen-cyc-median,4994.0
ecdsa-P-256,keygen-cyc-mean,5022.1
ecdsa-P-256,keygen-persec,10802.2
ecdsa-P-256,sign-iters,1000
ecdsa-P-256,sign-wall-median-ns,118019.0
ecdsa-P-256,sign-wall-mean-ns,118438.0
ecdsa-P-256,sign-wall-std-ns,2733.9
ecdsa-P-256,sign-wall-p95-ns,118945.0
ecdsa-P-256,sign-wall-p99-ns,128388.0
ecdsa-P-256,sign-wall-ci95lo-ns,118268.5
ecdsa-P-256,sign-wall-ci95hi-ns,118607.4
ecdsa-P-256,sign-cyc-median,6367.0
ecdsa-P-256,sign-cyc-mean,6389.4
ecdsa-P-256,sign-persec,8473.2
ecdsa-P-256,verify-iters,1000
ecdsa-P-256,verify-wall-median-ns,345611.0
ecdsa-P-256,verify-wall-mean-ns,346798.7
ecdsa-P-256,verify-wall-std-ns,3974.8
ecdsa-P-256,verify-wall-p95-ns,355389.0
ecdsa-P-256,verify-wall-p99-ns,360259.0
ecdsa-P-256,verify-wall-ci95lo-ns,346552.4
ecdsa-P-256,verify-wall-ci95hi-ns,347045.1
ecdsa-P-256,verify-cyc-median,18658.0
ecdsa-P-256,verify-cyc-mean,18721.9
ecdsa-P-256,verify-persec,2893.4
ecdsa-P-256,size-key-bits,256
ecdsa-P-256,size-pubkey-bytes,65
ecdsa-P-256,size-signature-max-bytes,72
ecdsa-P-384,keygen-iters,1000
ecdsa-P-384,keygen-wall-median-ns,4011111.0
ecdsa-P-384,keygen-wall-mean-ns,4013291.3
ecdsa-P-384,keygen-wall-std-ns,8436.1
ecdsa-P-384,keygen-wall-p95-ns,4030426.0
ecdsa-P-384,keygen-wall-p99-ns,4047500.0
ecdsa-P-384,keygen-wall-ci95lo-ns,4012768.5
ecdsa-P-384,keygen-wall-ci95hi-ns,4013814.2
ecdsa-P-384,keygen-cyc-median,216593.0
ecdsa-P-384,keygen-cyc-mean,216710.8
ecdsa-P-384,keygen-persec,249.3
ecdsa-P-384,sign-iters,1000
ecdsa-P-384,sign-wall-median-ns,4172611.0
ecdsa-P-384,sign-wall-mean-ns,4174489.9
ecdsa-P-384,sign-wall-std-ns,7398.9
ecdsa-P-384,sign-wall-p95-ns,4184778.0
ecdsa-P-384,sign-wall-p99-ns,4207667.0
ecdsa-P-384,sign-wall-ci95lo-ns,4174031.3
ecdsa-P-384,sign-wall-ci95hi-ns,4174948.5
ecdsa-P-384,sign-cyc-median,225313.0
ecdsa-P-384,sign-cyc-mean,225414.5
ecdsa-P-384,sign-persec,239.7
ecdsa-P-384,verify-iters,1000
ecdsa-P-384,verify-wall-median-ns,3298055.0
ecdsa-P-384,verify-wall-mean-ns,3299643.0
ecdsa-P-384,verify-wall-std-ns,16392.3
ecdsa-P-384,verify-wall-p95-ns,3321852.0
ecdsa-P-384,verify-wall-p99-ns,3336667.0
ecdsa-P-384,verify-wall-ci95lo-ns,3298627.0
ecdsa-P-384,verify-wall-ci95hi-ns,3300659.0
ecdsa-P-384,verify-cyc-median,178087.0
ecdsa-P-384,verify-cyc-mean,178171.5
ecdsa-P-384,verify-persec,303.2
ecdsa-P-384,size-key-bits,384
ecdsa-P-384,size-pubkey-bytes,97
ecdsa-P-384,size-signature-max-bytes,104
ecdsa-P-521,keygen-iters,1000
ecdsa-P-521,keygen-wall-median-ns,10405907.0
ecdsa-P-521,keygen-wall-mean-ns,10410458.7
ecdsa-P-521,keygen-wall-std-ns,22864.8
ecdsa-P-521,keygen-wall-p95-ns,10440389.0
ecdsa-P-521,keygen-wall-p99-ns,10471500.0
ecdsa-P-521,keygen-wall-ci95lo-ns,10409041.5
ecdsa-P-521,keygen-wall-ci95hi-ns,10411875.8
ecdsa-P-521,keygen-cyc-median,561912.0
ecdsa-P-521,keygen-cyc-mean,562156.8
ecdsa-P-521,keygen-persec,96.1
ecdsa-P-521,sign-iters,1000
ecdsa-P-521,sign-wall-median-ns,11006574.0
ecdsa-P-521,sign-wall-mean-ns,11010433.0
ecdsa-P-521,sign-wall-std-ns,24977.1
ecdsa-P-521,sign-wall-p95-ns,11039278.0
ecdsa-P-521,sign-wall-p99-ns,11058796.0
ecdsa-P-521,sign-wall-ci95lo-ns,11008884.9
ecdsa-P-521,sign-wall-ci95hi-ns,11011981.1
ecdsa-P-521,sign-cyc-median,594347.0
ecdsa-P-521,sign-cyc-mean,594554.9
ecdsa-P-521,sign-persec,90.9
ecdsa-P-521,verify-iters,1000
ecdsa-P-521,verify-wall-median-ns,8314314.0
ecdsa-P-521,verify-wall-mean-ns,8319115.2
ecdsa-P-521,verify-wall-std-ns,19190.5
ecdsa-P-521,verify-wall-p95-ns,8347352.0
ecdsa-P-521,verify-wall-p99-ns,8364482.0
ecdsa-P-521,verify-wall-ci95lo-ns,8317925.7
ecdsa-P-521,verify-wall-ci95hi-ns,8320304.6
ecdsa-P-521,verify-cyc-median,448963.0
ecdsa-P-521,verify-cyc-mean,449221.9
ecdsa-P-521,verify-persec,120.3
ecdsa-P-521,size-key-bits,521
ecdsa-P-521,size-pubkey-bytes,133
ecdsa-P-521,size-signature-max-bytes,139
ecdh-P-256,keygen-iters,1000
ecdh-P-256,keygen-wall-median-ns,92333.0
ecdh-P-256,keygen-wall-mean-ns,92735.0
ecdh-P-256,keygen-wall-std-ns,2790.5
ecdh-P-256,keygen-wall-p95-ns,93463.0
ecdh-P-256,keygen-wall-p99-ns,104333.0
ecdh-P-256,keygen-wall-ci95lo-ns,92562.1
ecdh-P-256,keygen-wall-ci95hi-ns,92908.0
ecdh-P-256,keygen-cyc-median,4981.0
ecdh-P-256,keygen-cyc-mean,5003.0
ecdh-P-256,keygen-persec,10830.4
ecdh-P-256,derive-iters,1000
ecdh-P-256,derive-wall-median-ns,262222.0
ecdh-P-256,derive-wall-mean-ns,266396.8
ecdh-P-256,derive-wall-std-ns,17964.7
ecdh-P-256,derive-wall-p95-ns,277630.0
ecdh-P-256,derive-wall-p99-ns,368703.0
ecdh-P-256,derive-wall-ci95lo-ns,265283.3
ecdh-P-256,derive-wall-ci95hi-ns,267510.2
ecdh-P-256,derive-cyc-median,14157.0
ecdh-P-256,derive-cyc-mean,14381.5
ecdh-P-256,derive-persec,3813.6
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-wall-median-ns,4010963.0
ecdh-P-384,keygen-wall-mean-ns,4013626.5
ecdh-P-384,keygen-wall-std-ns,8792.4
ecdh-P-384,keygen-wall-p95-ns,4032240.0
ecdh-P-384,keygen-wall-p99-ns,4048203.0
ecdh-P-384,keygen-wall-ci95lo-ns,4013081.5
ecdh-P-384,keygen-wall-ci95hi-ns,4014171.5
ecdh-P-384,keygen-cyc-median,216584.0
ecdh-P-384,keygen-cyc-mean,216728.0
ecdh-P-384,keygen-persec,249.3
ecdh-P-384,derive-iters,1000
ecdh-P-384,derive-wall-median-ns,3960444.0
ecdh-P-384,derive-wall-mean-ns,3961924.2
ecdh-P-384,derive-wall-std-ns,20385.0
ecdh-P-384,derive-wall-p95-ns,3995426.0
ecdh-P-384,derive-wall-p99-ns,4010352.0
