arch,variant,algo,op,wall_median_ns,wall_p95_ns,cyc_median
x86_64,ref,ML-KEM-512,encap,19873.0,22593.0,53320.0
x86_64,ref,ML-KEM-512,decap,23936.0,24249.0,64246.0
x86_64,ref,ML-KEM-512,keygen,40224.0,41551.0,107858.0
x86_64,ref,ML-KEM-768,encap,30181.0,30807.0,81032.0
x86_64,ref,ML-KEM-768,decap,35832.0,36484.0,96224.0
x86_64,ref,ML-KEM-768,keygen,42978.0,45029.0,115332.0
x86_64,ref,ML-KEM-1024,encap,43212.0,44684.0,116056.0
x86_64,ref,ML-KEM-1024,decap,50002.0,51962.0,134306.0
x86_64,ref,ML-KEM-1024,keygen,45200.0,47284.0,121394.0
x86_64,ref,ML-DSA-44,verify,68996.0,70533.0,185390.0
x86_64,ref,ML-DSA-44,sign,211202.0,615305.0,567640.0
x86_64,ref,ML-DSA-44,keygen,65084.0,76192.0,174860.0
x86_64,ref,ML-DSA-65,verify,111263.0,112617.0,298998.0
x86_64,ref,ML-DSA-65,sign,358510.0,1049593.0,963600.0
x86_64,ref,ML-DSA-65,keygen,121016.0,173977.0,325200.0
x86_64,ref,ML-DSA-87,verify,184773.0,186810.0,496592.0
x86_64,ref,ML-DSA-87,sign,465274.0,1203575.0,1250582.0
x86_64,ref,ML-DSA-87,keygen,178473.0,184618.0,479662.0
x86_64,opt,ML-KEM-512,encap,7273.0,17894.0,19484.0
x86_64,opt,ML-KEM-512,decap,8829.0,9827.0,23666.0
x86_64,opt,ML-KEM-512,keygen,16011.0,17279.0,42842.0
x86_64,opt,ML-KEM-768,encap,11239.0,27580.0,30146.0
x86_64,opt,ML-KEM-768,decap,13966.0,14038.0,37474.0
x86_64,opt,ML-KEM-768,keygen,26623.0,31694.0,71300.0
x86_64,opt,ML-KEM-1024,encap,15549.0,16828.0,41732.0
x86_64,opt,ML-KEM-1024,decap,19284.0,21275.0,51766.0
x86_64,opt,ML-KEM-1024,keygen,14538.0,15166.0,39008.0
x86_64,opt,ML-DSA-44,verify,21407.0,21544.0,57460.0
x86_64,opt,ML-DSA-44,sign,47817.0,127941.0,128404.0
x86_64,opt,ML-DSA-44,keygen,27701.0,51060.0,74378.0
x86_64,opt,ML-DSA-65,verify,37066.0,37224.0,99566.0
x86_64,opt,ML-DSA-65,sign,82340.0,208322.0,221212.0
x86_64,opt,ML-DSA-65,keygen,85443.0,88396.0,229440.0
x86_64,opt,ML-DSA-87,verify,55573.0,56961.0,149290.0
x86_64,opt,ML-DSA-87,sign,98891.0,221076.0,265702.0
x86_64,opt,ML-DSA-87,keygen,59098.0,136523.0,158742.0
