openssl: OpenSSL 3.6.2 7 Apr 2026
algo: rsa-3072
key-size: 3072
keygen-iters: 1000
keygen-wall-median-ns: 104932588.0
keygen-wall-mean-ns: 121052674.1
keygen-wall-std-ns: 73887284.9
keygen-wall-p95-ns: 258996049.0
keygen-wall-p99-ns: 351199163.0
keygen-wall-ci95lo-ns: 116473092.8
keygen-wall-ci95hi-ns: 125632255.5
keygen-cyc-median: 282058724.0
keygen-cyc-mean: 325389504.9
keygen-persec: 9.5
pss-sign-iters: 1000
pss-sign-wall-median-ns: 1327053.0
pss-sign-wall-mean-ns: 1339070.0
pss-sign-wall-std-ns: 65616.3
pss-sign-wall-p95-ns: 1334587.0
pss-sign-wall-p99-ns: 1706611.0
pss-sign-wall-ci95lo-ns: 1335003.1
pss-sign-wall-ci95hi-ns: 1343137.0
pss-sign-cyc-median: 3567034.0
pss-sign-cyc-mean: 3599331.5
pss-sign-persec: 753.5
pss-verify-iters: 1000
pss-verify-wall-median-ns: 29236.0
pss-verify-wall-mean-ns: 29273.1
pss-verify-wall-std-ns: 242.5
pss-verify-wall-p95-ns: 29459.0
pss-verify-wall-p99-ns: 30470.0
pss-verify-wall-ci95lo-ns: 29258.0
pss-verify-wall-ci95hi-ns: 29288.1
pss-verify-cyc-median: 78530.0
pss-verify-cyc-mean: 78629.3
pss-verify-persec: 34204.4
oaep-encrypt-iters: 1000
oaep-encrypt-wall-median-ns: 29782.0
oaep-encrypt-wall-mean-ns: 29815.5
oaep-encrypt-wall-std-ns: 235.6
oaep-encrypt-wall-p95-ns: 30003.0
oaep-encrypt-wall-p99-ns: 30982.0
oaep-encrypt-wall-ci95lo-ns: 29800.9
oaep-encrypt-wall-ci95hi-ns: 29830.2
oaep-encrypt-cyc-median: 79998.0
oaep-encrypt-cyc-mean: 80089.8
oaep-encrypt-persec: 33577.3
oaep-decrypt-iters: 1000
oaep-decrypt-wall-median-ns: 1328764.0
oaep-decrypt-wall-mean-ns: 1340764.6
oaep-decrypt-wall-std-ns: 65750.4
oaep-decrypt-wall-p95-ns: 1336771.0
oaep-decrypt-wall-p99-ns: 1710836.0
oaep-decrypt-wall-ci95lo-ns: 1336689.3
oaep-decrypt-wall-ci95hi-ns: 1344839.8
oaep-decrypt-cyc-median: 3571652.0
oaep-decrypt-cyc-mean: 3603900.8
oaep-decrypt-persec: 752.6
size-key-bits: 3072
size-signature-bytes: 384
