algo,op,iter,wall_ns,cycles
rsa-7680,keygen,0,2752754602,7399403958
rsa-7680,keygen,1,6482814266,17425803198
rsa-7680,keygen,2,2888218980,7763531910
rsa-7680,keygen,3,6360709576,17097586306
rsa-7680,keygen,4,5748260169,15451321534
rsa-7680,keygen,5,5308778224,14269994670
rsa-7680,keygen,6,4373784931,11756733382
rsa-7680,keygen,7,876567159,2356212322
rsa-7680,keygen,8,5899281065,15857266574
rsa-7680,keygen,9,4609350629,12389933928
rsa-7680,keygen,10,2296006297,6171664648
rsa-7680,keygen,11,5094840696,13694931258
rsa-7680,keygen,12,715423443,1923058054
rsa-7680,keygen,13,7394779406,19877166306
rsa-7680,keygen,14,3762359235,10113221166
rsa-7680,keygen,15,6214001337,16703234964
rsa-7680,keygen,16,9877671614,26551179946
rsa-7680,keygen,17,6522733553,17533106810
rsa-7680,keygen,18,3824486886,10280220310
rsa-7680,keygen,19,9408390686,25289753274
rsa-7680,keygen,20,2619526190,7041286100
rsa-7680,keygen,21,2574738302,6920896192
rsa-7680,keygen,22,11276213417,30310460312
rsa-7680,keygen,23,4084515078,10979176076
rsa-7680,keygen,24,3519584471,9460642654
rsa-7680,keygen,25,3228087490,8677098814
rsa-7680,keygen,26,2373940274,6381151136
rsa-7680,keygen,27,6214449012,16704437766
rsa-7680,keygen,28,2196718624,5904779062
rsa-7680,keygen,29,2127029994,5717456362
rsa-7680,keygen,30,7457976893,20047041168
rsa-7680,keygen,31,11536210627,31009332798
rsa-7680,keygen,32,4516602833,12140627616
rsa-7680,keygen,33,4845319720,13024218112
rsa-7680,keygen,34,4477851898,12036465416
rsa-7680,keygen,35,2133763836,5735556888
rsa-7680,keygen,36,1936537853,5205413488
rsa-7680,keygen,37,2299784465,6181820298
rsa-7680,keygen,38,5914814230,15899019994
rsa-7680,keygen,39,4037622858,10853129782
rsa-7680,keygen,40,3167359932,8513863128
rsa-7680,keygen,41,5243033065,14093272332
rsa-7680,keygen,42,3185674412,8563092460
rsa-7680,keygen,43,5022004301,13499146730
rsa-7680,keygen,44,3213007124,8636562794
rsa-7680,keygen,45,1205087062,3239273844
rsa-7680,keygen,46,7566434861,20338575792
rsa-7680,keygen,47,776769315,2087955762
rsa-7680,keygen,48,2222870557,5975075708
rsa-7680,keygen,49,1919508684,5159639090
rsa-7680,keygen,50,5525754130,14853226216
rsa-7680,keygen,51,3125047121,8400125966
rsa-7680,keygen,52,2529196840,6798480796
rsa-7680,keygen,53,2763429880,7428099216
rsa-7680,keygen,54,1598058864,4295582030
rsa-7680,keygen,55,10333167353,27775552840
rsa-7680,keygen,56,3634166733,9768639720
rsa-7680,keygen,57,5277414271,14185689006
rsa-7680,keygen,58,3339183646,8975725218
rsa-7680,keygen,59,6751501576,18148035556
rsa-7680,keygen,60,11650563234,31316712892
rsa-7680,keygen,61,988215568,2656323276
rsa-7680,keygen,62,5524267542,14849230540
rsa-7680,keygen,63,961958478,2585744194
rsa-7680,keygen,64,2388951790,6421502126
rsa-7680,keygen,65,1414048613,3800962398
rsa-7680,keygen,66,5059147677,13598988448
rsa-7680,keygen,67,1570036361,4220257518
rsa-7680,keygen,68,2661341725,7153686210
rsa-7680,keygen,69,10636524500,28590976520
rsa-7680,keygen,70,7224426191,19419256564
rsa-7680,keygen,71,8282043654,22262132118
rsa-7680,keygen,72,2283115752,6137014498
rsa-7680,keygen,73,3940501247,10592066186
rsa-7680,keygen,74,1207515154,3245800550
rsa-7680,keygen,75,1610643576,4329409666
rsa-7680,keygen,76,2368482859,6366481592
rsa-7680,keygen,77,1847020763,4964791220
rsa-7680,keygen,78,5927206630,15932330816
rsa-7680,keygen,79,1294059153,3478430762
rsa-7680,keygen,80,8834585020,23747363722
rsa-7680,keygen,81,12045803446,32379118240
rsa-7680,keygen,82,2615546172,7030587774
rsa-7680,keygen,83,4963204562,13341093034
rsa-7680,keygen,84,2444498255,6570810632
rsa-7680,keygen,85,5187688078,13944505008
rsa-7680,keygen,86,5584864227,15012114470
rsa-7680,keygen,87,8132488510,21860128326
rsa-7680,keygen,88,6428331958,17279355626
rsa-7680,keygen,89,4111971821,11052979768
rsa-7680,keygen,90,2660409927,7151181582
rsa-7680,keygen,91,2995854085,8052855396
rsa-7680,keygen,92,9410389737,25295125790
rsa-7680,keygen,93,4181661167,11240304756
rsa-7680,keygen,94,5344045507,14364793424
rsa-7680,keygen,95,2418942544,6502116910
rsa-7680,keygen,96,3388077905,9107152704
rsa-7680,keygen,97,2010404190,5403966182
rsa-7680,keygen,98,4655051860,12512778902
rsa-7680,keygen,99,3169811938,8520454106
rsa-7680,pss-sign,0,28057559,75418544
rsa-7680,pss-sign,1,28062098,75430828
rsa-7680,pss-sign,2,28099000,75530048
rsa-7680,pss-sign,3,28008744,75287440
rsa-7680,pss-sign,4,27915017,75035498
rsa-7680,pss-sign,5,27929415,75074202
rsa-7680,pss-sign,6,27941620,75107010
rsa-7680,pss-sign,7,28051515,75402400
rsa-7680,pss-sign,8,28016190,75307456
rsa-7680,pss-sign,9,27992994,75245104
rsa-7680,pss-sign,10,28018181,75312810
rsa-7680,pss-sign,11,27891294,74971704
rsa-7680,pss-sign,12,27998832,75260752
rsa-7680,pss-sign,13,28077359,75471884
rsa-7680,pss-sign,14,27775151,74659536
rsa-7680,pss-sign,15,27892068,74973812
rsa-7680,pss-sign,16,27954670,75142096
rsa-7680,pss-sign,17,27906098,75011528
rsa-7680,pss-sign,18,27957989,75151014
rsa-7680,pss-sign,19,27996107,75253464
rsa-7680,pss-sign,20,28021543,75321846
rsa-7680,pss-sign,21,28007541,75284204
rsa-7680,pss-sign,22,29978131,80581148
rsa-7680,pss-sign,23,27941864,75107666
rsa-7680,pss-sign,24,28003030,75272056
rsa-7680,pss-sign,25,28003338,75272908
rsa-7680,pss-sign,26,27864829,74900594
rsa-7680,pss-sign,27,27896152,74984788
rsa-7680,pss-sign,28,28146165,75656796
rsa-7680,pss-sign,29,27973355,75192314
rsa-7680,pss-sign,30,27925156,75062752
rsa-7680,pss-sign,31,28100271,75533462
rsa-7680,pss-sign,32,27947469,75122736
rsa-7680,pss-sign,33,28004621,75276352
rsa-7680,pss-sign,34,27884138,74952448
rsa-7680,pss-sign,35,27960274,75157150
rsa-7680,pss-sign,36,28058452,75421058
rsa-7680,pss-sign,37,27934036,75086624
rsa-7680,pss-sign,38,27995507,75251854
rsa-7680,pss-sign,39,28020201,75318234
rsa-7680,pss-sign,40,27895949,74984244
rsa-7680,pss-sign,41,27850119,74861058
rsa-7680,pss-sign,42,27961169,75159554
rsa-7680,pss-sign,43,27991785,75241858
rsa-7680,pss-sign,44,28034919,75357800
rsa-7680,pss-sign,45,27979800,75209644
rsa-7680,pss-sign,46,27919337,75047112
rsa-7680,pss-sign,47,27951362,75133198
rsa-7680,pss-sign,48,28010677,75292596
rsa-7680,pss-sign,49,28071813,75456964
rsa-7680,pss-sign,50,28143908,75650728
rsa-7680,pss-sign,51,28135084,75627044
rsa-7680,pss-sign,52,28115328,75573928
rsa-7680,pss-sign,53,28080624,75480654
rsa-7680,pss-sign,54,30103107,80917076
rsa-7680,pss-sign,55,28138775,75636954
