algo,metric,n,median,mean,min,max,cv_pct
ML-DSA-44,keygen-cyc-mean,5,188244.1,191194.98,187953,203023.5,3.46
ML-DSA-44,keygen-cyc-median,5,187584,187645.6,187502,187938,0.09
ML-DSA-44,keygen-iters,5,1000,1000,1000,1000,0.00
ML-DSA-44,keygen-persec,5,14324.4,14319.82,14297.6,14330.8,0.09
ML-DSA-44,keygen-wall-ci95hi-ns,5,70155.7,71477.58,70018.7,76857.2,4.21
ML-DSA-44,keygen-wall-ci95lo-ns,5,69958.2,70833.1,69879.8,74263.3,2.71
ML-DSA-44,keygen-wall-mean-ns,5,70056.9,71155.34,69949.3,75560.3,3.46
ML-DSA-44,keygen-wall-median-ns,5,69811,69833.4,69780,69942,0.09
ML-DSA-44,keygen-wall-p95-ns,5,72102,85599.2,71744,139498,35.20
ML-DSA-44,keygen-wall-p99-ns,5,74193,87930.4,73717,143647,35.42
ML-DSA-44,keygen-wall-std-ns,5,1392.4,5198.74,963.4,20924.4,169.16
ML-DSA-44,sign-cyc-mean,5,999833.9,998422.64,964146.5,1025341.7,2.20
ML-DSA-44,sign-cyc-median,5,764756,764754.4,761780,768330,0.31
ML-DSA-44,sign-iters,5,1000,1000,1000,1000,0.00
ML-DSA-44,sign-persec,5,3514.6,3514.5,3497.7,3528.3,0.32
ML-DSA-44,sign-wall-ci95hi-ns,5,387855.9,387202.28,374337.8,398007.2,2.18
ML-DSA-44,sign-wall-ci95lo-ns,5,356527.5,355717.86,343083.3,364940.8,2.24
ML-DSA-44,sign-wall-mean-ns,5,371984.4,371460.06,358710.5,381474,2.20
ML-DSA-44,sign-wall-median-ns,5,284528,284536.8,283424,285899,0.32
ML-DSA-44,sign-wall-p95-ns,5,839698,860055.2,832148,898009,4.01
ML-DSA-44,sign-wall-p99-ns,5,1306619,1294446.4,1171590,1376508,5.78
ML-DSA-44,sign-wall-std-ns,5,252131.2,253985.82,238969.2,266747.7,4.35
ML-DSA-44,size-key-bits,5,10496,10496,10496,10496,0.00
ML-DSA-44,size-privkey-bytes,5,2560,2560,2560,2560,0.00
ML-DSA-44,size-pubkey-bytes,5,1312,1312,1312,1312,0.00
ML-DSA-44,size-signature-bytes,5,2420,2420,2420,2420,0.00
ML-DSA-44,verify-cyc-mean,5,204462.2,204548.02,204317.2,204956.1,0.13
ML-DSA-44,verify-cyc-median,5,204098,204098.8,203834,204380,0.11
ML-DSA-44,verify-iters,5,1000,1000,1000,1000,0.00
ML-DSA-44,verify-persec,5,13166.2,13165.98,13147.9,13183,0.11
ML-DSA-44,verify-wall-ci95hi-ns,5,76180.1,76209.7,76065.4,76510.6,0.23
ML-DSA-44,verify-wall-ci95lo-ns,5,76004.1,76031.68,75998,76118.7,0.07
ML-DSA-44,verify-wall-mean-ns,5,76089,76120.68,76033.7,76273.1,0.13
ML-DSA-44,verify-wall-median-ns,5,75952,75953.4,75855,76058,0.11
ML-DSA-44,verify-wall-p95-ns,5,77318,77317.2,77179,77469,0.13
ML-DSA-44,verify-wall-p99-ns,5,78739,78606,77564,79816,1.25
ML-DSA-44,verify-wall-std-ns,5,684.2,1436,511.5,3831.9,96.79
ML-DSA-65,keygen-cyc-mean,5,338757.8,338761.16,338306.4,339127.4,0.10
ML-DSA-65,keygen-cyc-median,5,337974,337975.6,337752,338268,0.06
ML-DSA-65,keygen-iters,5,1000,1000,1000,1000,0.00
ML-DSA-65,keygen-persec,5,7951.7,7951.64,7944.7,7956.9,0.06
ML-DSA-65,keygen-wall-ci95hi-ns,5,126157.2,126193.04,125974.6,126459.7,0.14
ML-DSA-65,keygen-wall-ci95lo-ns,5,125918.2,125912.96,125795.8,126037.8,0.07
ML-DSA-65,keygen-wall-mean-ns,5,126051.7,126053,125885.2,126189,0.10
ML-DSA-65,keygen-wall-median-ns,5,125759,125760,125677,125870,0.06
ML-DSA-65,keygen-wall-p95-ns,5,127905,128057,127390,129125,0.51
ML-DSA-65,keygen-wall-p99-ns,5,132088,131320.2,129430,132580,1.03
ML-DSA-65,keygen-wall-std-ns,5,1702,2259.44,1442,4368.9,53.25
ML-DSA-65,sign-cyc-mean,5,1630482.5,1630654.3,1573073.5,1692948.7,3.20
ML-DSA-65,sign-cyc-median,5,1338154,1301405.2,1149204,1343400,6.54
ML-DSA-65,sign-iters,5,1000,1000,1000,1000,0.00
ML-DSA-65,sign-persec,5,2008.6,2073.14,2000.8,2338.9,7.17
ML-DSA-65,sign-wall-ci95hi-ns,5,633877.7,633856,611095.3,657593.6,3.09
ML-DSA-65,sign-wall-ci95lo-ns,5,579327.5,579478.3,559396,602092,3.34
ML-DSA-65,sign-wall-mean-ns,5,606602.6,606667.14,585245.6,629842.8,3.20
ML-DSA-65,sign-wall-median-ns,5,497852,484177.4,427555,499797,6.54
ML-DSA-65,sign-wall-p95-ns,5,1451890,1467587.2,1365192,1538973,4.92
ML-DSA-65,sign-wall-p99-ns,5,2291669,2296422.2,2204570,2389447,3.82
ML-DSA-65,sign-wall-std-ns,5,440058,438666.72,417060.1,460298.4,3.83
ML-DSA-65,size-key-bits,5,15616,15616,15616,15616,0.00
ML-DSA-65,size-privkey-bytes,5,4032,4032,4032,4032,0.00
ML-DSA-65,size-pubkey-bytes,5,1952,1952,1952,1952,0.00
ML-DSA-65,size-signature-bytes,5,3309,3309,3309,3309,0.00
ML-DSA-65,verify-cyc-mean,5,314933.3,315118.06,314810.3,315580.5,0.10
ML-DSA-65,verify-cyc-median,5,314788,314866.4,314538,315318,0.11
ML-DSA-65,verify-iters,5,1000,1000,1000,1000,0.00
ML-DSA-65,verify-persec,5,8537.4,8535.16,8522.8,8544.2,0.11
ML-DSA-65,verify-wall-ci95hi-ns,5,117269.9,117321.18,117205.7,117483.2,0.10
ML-DSA-65,verify-wall-ci95lo-ns,5,117141.3,117188.8,117073.1,117370.5,0.11
ML-DSA-65,verify-wall-mean-ns,5,117185.6,117254.98,117139.4,117426.8,0.11
ML-DSA-65,verify-wall-median-ns,5,117132,117162.6,117038,117333,0.11
ML-DSA-65,verify-wall-p95-ns,5,118380,118414,118280,118521,0.09
